peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K9me3_Rep1_S1	Naive_P14_Day30_H3K9me3_Rep2_S2	Naive_P14_Day30_H3K9me3_Rep3_S1	Naive_P14_Day30_H3K9me3_Rep4_S2	Naive_P14_Day32_H3K9me3_Rep1_S5	Naive_P14_Day32_H3K9me3_Rep2_S6	Naive_P14_Day32_H3K9me3_Rep3_S7	Naive_P14_Day32_H3K9me3_Rep4_S8	Arm_P14_Day30_H3K9me3_Rep1_S3	Arm_P14_Day30_H3K9me3_Rep2_S4	Arm_P14_Day30_H3K9me3_Rep3_S1	Arm_P14_Day30_H3K9me3_Rep4_S2	Cl13_P14_Day32_H3K9me3_Rep1_S5	Cl13_P14_Day32_H3K9me3_Rep2_S6	Cl13_P14_Day32_H3K9me3_Rep3_S7	Cl13_P14_Day32_H3K9me3_Rep4_S8
peak18462	chr14	50714782	50735392	.	20611	247.67	278.61	330.39	299.91	262.37	295.93	281.79	281.96	169.1	177.09	173.74	158.95	176.63	172.65	169.89	169.62
peak18464	chr14	50880445	50884718	.	4274	58.08	50.74	64.45	61	64.24	71.79	75.66	61.86	75.97	71.88	78.31	90.99	100.77	76.49	87.91	100.64
peak18465	chr14	51010547	51012298	.	1752	9.39	21.36	13.87	16.1	10.86	14.01	15.65	8.03	7.35	4.17	7.34	2.3	14.72	3.28	8.32	14.7
peak18466	chr14	51118580	51120262	.	1683	11.1	21.36	15.5	17.79	16.29	13.13	20.87	15.26	9.8	6.25	3.67	5.76	4.53	12.02	7.13	5.65
peak18467	chr14	51133600	51139400	.	5801	56.37	56.97	60.37	72.01	57.9	57.79	41.75	59.45	42.89	42.71	63.62	63.35	40.76	60.1	60.59	62.2
peak18468	chr14	51205445	51218197	.	12753	143.48	149.54	153.36	143.18	154.71	150.59	160.9	162.27	147.04	134.38	137.04	154.34	149.46	131.13	130.68	150.4
peak18469	chr14	51257171	51259636	.	2466	25.62	23.14	27.74	33.89	26.24	22.76	30.44	24.9	34.31	29.17	28.14	24.19	24.91	29.5	35.64	27.14
peak18470	chr14	51295496	51338537	.	43042	417.63	352.49	365.46	405.81	396.27	362.47	366.15	360.69	472.98	419.8	450.26	491.82	327.22	364.97	378.98	325.68
peak18471	chr14	51339642	51344366	.	4725	20.5	13.35	20.39	20.33	18.09	20.14	18.26	15.26	28.18	30.21	26.92	29.95	9.06	10.93	20.2	10.18
peak18472	chr14	51349119	51356724	.	7606	54.66	40.95	44.05	41.51	35.28	32.39	38.27	44.18	45.34	26.04	48.94	64.5	30.57	29.5	29.7	36.19
peak18473	chr14	51363674	51412769	.	49096	462.89	446.85	437.25	474.44	472.27	441.27	469.64	490.02	618.8	628.14	610.54	567.84	481.2	455.67	477.58	444.41
peak18474	chr14	51414435	51451512	.	37078	385.17	351.6	382.6	388.02	384.51	367.72	360.06	378.36	514.64	437.51	407.43	441.14	332.88	360.6	336.21	332.46
peak18475	chr14	51453877	51523825	.	69949	830.99	767.3	774.98	803.16	763.6	733.7	717.51	796.89	869.99	889.61	913.98	961.75	675.95	663.29	648.66	696.59
peak18476	chr14	51524513	51546225	.	21713	157.14	153.1	163.15	162.66	171	170.73	157.42	149.42	209.53	161.46	152.94	169.31	132.47	120.2	135.43	125.52
peak18477	chr14	51547760	51578926	.	31167	195.58	193.16	167.23	201.64	173.71	181.24	160.03	187.98	208.31	220.84	215.34	221.15	122.28	130.03	172.26	130.04
peak18478	chr14	51586831	51593776	.	6946	38.43	30.26	32.63	32.19	36.19	28.02	38.27	35.35	41.66	35.42	44.05	32.25	19.25	22.95	24.95	29.4
peak18479	chr14	51604560	51616956	.	12397	68.32	55.19	61.18	50.83	41.62	68.29	42.62	48.2	64.94	59.38	81.98	78.32	39.63	42.62	64.15	37.32
peak18480	chr14	51621434	51626765	.	5332	40.99	32.04	34.26	31.35	33.48	38.52	46.09	28.92	34.31	27.08	36.71	42.62	33.97	24.04	21.38	24.88
peak18481	chr14	51629797	51673772	.	43976	327.1	313.33	340.18	311.77	322.99	324.82	294.83	308.47	225.46	261.47	255.72	267.22	243.43	211.99	220.97	219.38
peak18482	chr14	51679295	51687159	.	7865	52.95	38.28	53.84	38.97	47.05	50.78	50.44	53.82	30.63	31.25	39.15	51.83	30.57	30.6	33.26	39.58
peak18483	chr14	51697735	51710016	.	12282	133.23	105.04	120.73	90.65	112.19	129.58	131.33	105.23	102.93	116.67	122.35	114.03	117.75	99.44	103.36	98.38
peak18484	chr14	51724411	51736739	.	12329	117.86	113.05	100.34	110.98	102.24	115.57	106.1	119.69	112.73	109.38	89.32	103.66	100.77	112.55	100.98	101.77
peak18485	chr14	51747601	51753301	.	5701	32.45	40.06	30.18	31.35	29.86	32.39	40.88	33.74	42.89	46.88	33.04	33.4	52.08	38.25	35.64	33.92
peak18486	chr14	51757623	51761521	.	3899	58.93	62.31	56.29	59.3	48.86	62.16	50.44	52.22	56.37	50	40.38	49.53	37.36	55.73	48.71	59.93
peak18487	chr14	51766391	51767685	.	1295	11.96	12.46	17.13	7.62	12.67	9.63	8.7	12.85	8.58	12.5	8.56	17.28	14.72	7.65	8.32	7.92
peak18488	chr14	51774776	51776991	.	2216	17.93	9.79	13.05	9.32	14.48	12.26	7.83	8.03	8.58	10.42	6.12	6.91	19.25	14.21	14.26	7.92
peak18489	chr14	51780978	51783975	.	2998	12.81	19.58	17.13	25.42	12.67	13.13	18.26	17.67	12.25	12.5	23.25	13.82	15.85	15.3	11.88	11.31
peak18490	chr14	51814334	51819643	.	5310	33.31	26.7	37.53	33.89	37.09	42.03	40.88	43.38	42.89	53.13	50.16	48.38	53.22	59.01	42.77	48.63
peak18491	chr14	51831262	51837370	.	6109	82.84	77.44	86.47	86.42	84.14	80.55	86.1	80.33	95.58	90.63	95.44	89.84	100.77	95.07	87.91	73.5
peak18492	chr14	51947425	51950208	.	2784	24.77	21.36	25.29	25.42	19	26.27	23.48	11.25	22.06	14.58	19.58	23.04	22.64	20.76	23.76	20.35
peak18494	chr14	52359853	52368541	.	8689	99.92	118.39	110.13	111.83	103.14	112.07	121.76	102.02	95.58	90.63	96.66	89.84	92.84	102.72	93.85	107.43
peak18495	chr14	52471507	52481515	.	10009	117	146.87	137.05	145.72	138.42	151.47	139.15	136.56	87	86.46	99.11	88.69	83.79	86.33	86.73	99.51
peak18496	chr14	52498144	52503619	.	5476	73.45	67.65	69.34	59.3	64.24	63.91	66.1	60.25	78.42	73.96	48.94	56.44	60.01	42.62	71.28	53.15
peak18497	chr14	52509319	52516748	.	7430	85.4	85.45	87.29	88.96	90.47	84.05	97.41	74.71	110.28	79.17	53.84	85.23	63.41	81.95	76.03	76.9
peak18498	chr14	52519027	52523031	.	4005	23.91	31.15	28.55	22.03	24.43	24.51	18.26	19.28	15.93	9.38	20.8	18.43	22.64	16.39	19.01	12.44
peak18500	chr14	52536593	52538473	.	1881	23.91	21.36	17.13	22.87	17.19	25.39	22.61	22.49	17.15	10.42	4.89	9.21	12.45	13.11	3.56	10.18
peak18501	chr14	52557027	52562509	.	5483	79.43	61.42	69.34	68.62	67.86	72.67	72.19	55.43	51.46	50	52.61	55.29	54.35	49.17	62.96	54.28
peak18502	chr14	52570134	52571776	.	1643	18.79	19.58	10.6	22.03	14.48	12.26	19.13	16.87	13.48	19.79	17.13	12.67	9.06	16.39	23.76	16.96
peak18503	chr14	52584565	52598646	.	14082	137.5	144.2	157.44	171.14	131.19	151.47	146.98	134.96	120.08	143.75	133.36	150.89	133.6	138.78	134.25	145.88
peak18504	chr14	52608513	52615120	.	6608	97.36	89.9	101.16	83.03	83.24	99.81	88.71	99.61	40.44	36.46	42.82	43.77	38.5	42.62	60.59	48.63
peak18505	chr14	52627610	52633416	.	5807	88.82	70.32	67.71	87.26	63.33	77.05	68.71	75.51	83.32	84.38	64.85	88.69	73.6	73.21	83.16	91.6
peak18506	chr14	52646401	52648799	.	2399	17.08	21.36	26.92	22.87	32.57	22.76	24.35	24.9	11.03	10.42	7.34	4.61	7.93	12.02	13.07	3.39
peak18507	chr14	52657738	52663798	.	6061	45.26	57.86	48.95	62.69	47.95	51.66	51.31	55.43	55.14	55.21	40.38	62.2	43.03	57.91	45.14	44.1
peak18508	chr14	52673559	52679154	.	5596	51.24	83.67	63.63	70.32	66.95	84.93	74.8	77.92	37.99	50	41.6	59.89	43.03	45.89	42.77	42.97
peak18509	chr14	52689466	52697124	.	7659	67.47	65.87	62.81	77.94	66.05	76.17	60.88	68.28	49.01	52.08	64.85	58.74	65.67	57.91	57.02	56.54
peak18510	chr14	52703117	52708836	.	5720	68.32	75.66	76.68	61	77.81	76.17	65.23	78.73	90.68	85.42	66.07	77.17	84.92	83.05	77.22	80.29
peak18511	chr14	52717918	52722132	.	4215	42.7	34.72	39.97	49.14	46.14	44.65	42.62	38.56	19.61	15.63	14.68	12.67	14.72	14.21	16.63	7.92
peak18512	chr14	52735442	52740463	.	5022	40.99	39.17	39.16	33.04	28.05	35.9	33.05	28.92	49.01	30.21	24.47	33.4	47.55	54.64	48.71	41.84
peak18513	chr14	52745176	52749092	.	3917	31.6	44.51	35.08	30.5	32.57	33.27	31.31	39.36	20.83	33.33	19.58	21.88	27.17	30.6	23.76	30.53
peak18514	chr14	52757899	52764901	.	7003	97.36	99.7	104.42	114.37	107.66	116.45	113.93	113.27	134.79	157.3	139.48	132.46	157.38	180.3	162.76	166.23
peak18515	chr14	52799874	52801289	.	1416	12.81	13.35	11.42	12.71	17.19	20.14	13.05	16.07	15.93	12.5	17.13	18.43	13.59	21.85	17.82	15.83
peak18517	chr14	52866267	52875634	.	9368	80.28	64.98	66.08	70.32	77.81	70.92	73.93	79.53	91.9	95.84	81.98	93.3	83.79	81.95	74.84	91.6
peak18518	chr14	52880082	52882546	.	2465	20.5	17.8	9.79	16.94	15.38	16.64	27.83	17.67	17.15	11.46	13.46	18.43	19.25	20.76	15.44	22.62
peak18519	chr14	52993735	52998656	.	4922	33.31	48.96	34.26	39.82	37.09	43.78	40.01	37.76	41.66	28.13	56.28	57.59	50.95	48.08	41.58	46.36
peak18520	chr14	53008856	53019069	.	10214	77.72	94.35	93.81	89.8	76.9	74.42	86.97	92.38	74.75	84.38	89.32	77.17	83.79	91.79	66.53	104.04
peak18521	chr14	53057557	53072069	.	14513	134.09	150.43	137.05	138.1	138.42	109.44	132.2	137.37	122.53	150	152.94	162.4	160.78	168.28	160.38	179.8
peak18522	chr14	53105622	53116845	.	11224	35.87	37.39	31	34.74	23.52	37.65	30.44	27.31	31.86	47.92	51.39	43.77	65.67	48.08	53.46	70.11
peak18523	chr14	53176530	53187164	.	10635	67.47	57.86	72.6	88.11	71.47	84.93	66.97	75.51	77.2	92.71	79.53	82.93	89.45	77.58	83.16	92.73
peak18524	chr14	53191077	53193517	.	2441	19.64	21.36	20.39	20.33	25.33	27.14	18.26	16.87	13.48	16.67	13.46	16.13	26.04	14.21	23.76	16.96
peak18525	chr14	53305126	53309565	.	4440	34.16	41.84	35.89	30.5	34.38	42.9	39.14	38.56	44.11	39.58	34.26	40.31	35.1	27.32	35.64	37.32
peak18526	chr14	53379802	53385568	.	5767	68.32	71.21	75.05	66.08	80.52	65.66	74.8	69.09	61.27	50	50.16	44.92	61.14	54.64	46.33	78.03
peak18527	chr14	53396139	53403425	.	7287	63.2	56.08	60.37	72.86	47.05	66.54	61.75	75.51	58.82	60.42	31.81	39.16	63.41	54.64	55.84	73.5
peak18528	chr14	53409885	53415975	.	6091	78.57	73.88	88.1	75.4	67.86	69.17	62.62	83.54	64.94	83.34	68.52	79.47	73.6	67.75	73.66	61.06
peak18530	chr14	53445154	53449430	.	4277	53.8	33.83	51.39	51.68	42.52	55.16	55.66	61.86	36.76	44.79	41.6	36.86	37.36	45.89	47.52	35.06
peak18531	chr14	53475209	53479708	.	4500	50.39	60.53	44.87	55.92	47.95	74.42	46.96	53.82	68.62	69.79	62.4	71.41	69.07	100.53	64.15	87.07
peak18532	chr14	53550789	53554623	.	3835	22.21	23.14	28.55	29.65	27.14	23.64	23.48	25.71	12.25	16.67	12.24	19.58	22.64	20.76	22.57	14.7
peak18533	chr14	53563738	53576665	.	12928	196.43	175.36	202.31	207.57	242.47	245.15	231.34	240.19	151.94	166.67	167.62	161.25	172.1	172.65	149.69	175.28
peak18534	chr14	53608939	53612521	.	3583	28.18	40.95	43.24	46.6	39.81	28.02	26.96	39.36	42.89	33.33	42.82	41.46	31.7	33.87	20.2	35.06
peak18535	chr14	53685345	53701527	.	16183	213.51	215.41	202.31	187.23	257.85	241.65	222.65	242.6	189.93	230.21	190.87	177.38	269.47	244.77	220.97	232.95
peak18536	chr14	53744516	53747477	.	2962	26.48	24.03	19.58	22.87	16.29	25.39	26.96	24.9	25.73	25	28.14	27.64	24.91	20.76	19.01	19.22
peak18537	chr14	53850627	53852912	.	2286	18.79	16.91	17.13	24.57	19.9	29.77	32.18	26.51	8.58	10.42	4.89	9.21	9.06	4.37	3.56	5.65
peak18538	chr14	53899032	53900236	.	1205	17.93	15.13	14.68	13.56	9.95	11.38	12.18	7.23	12.25	13.54	8.56	6.91	13.59	9.83	10.69	7.92
peak18540	chr14	53929731	53942930	.	13200	153.73	151.32	145.21	144.87	135.71	145.34	114.8	138.17	176.45	167.71	135.81	165.86	149.46	159.54	153.25	171.88
peak18541	chr14	53947877	53955619	.	7743	81.99	65.87	88.1	72.01	70.57	84.05	80.88	85.95	105.38	84.38	80.75	90.99	86.05	89.6	79.6	100.64
peak18542	chr14	53962257	53965984	.	3728	7.69	2.67	6.53	5.08	8.14	7.88	6.09	9.64	15.93	16.67	15.91	17.28	32.84	30.6	20.2	19.22
peak18543	chr14	54023505	54024970	.	1466	6.83	4.45	6.53	2.54	7.24	3.5	6.09	3.21	17.15	28.13	24.47	16.13	29.44	27.32	21.38	30.53
peak18544	chr14	54129743	54136116	.	6374	69.18	89.01	79.95	75.4	88.66	73.54	86.1	74.71	87	84.38	100.33	64.5	97.37	95.07	100.98	84.81
peak18546	chr14	54285539	54287420	.	1882	29.89	28.48	35.89	40.67	32.57	48.15	44.36	37.76	7.35	8.33	19.58	16.13	15.85	14.21	17.82	20.35
peak18547	chr14	54292617	54296997	.	4381	26.48	26.7	33.45	33.04	31.67	33.27	26.09	31.33	39.21	33.33	37.93	35.71	41.89	40.43	52.27	49.76
peak18548	chr14	54297667	54307083	.	9417	117	119.28	119.1	140.64	165.57	154.97	128.72	155.84	154.39	153.13	154.16	154.34	166.44	177.02	146.13	143.61
peak18549	chr14	54312880	54318587	.	5708	58.08	41.84	44.05	47.44	61.52	54.28	56.53	48.2	55.14	57.29	56.28	57.59	56.61	55.73	67.72	76.9
peak18550	chr14	54344280	54345893	.	1614	26.48	25.81	22.84	31.35	19	29.77	17.39	28.92	20.83	28.13	15.91	25.34	22.64	22.95	22.57	24.88
peak18551	chr14	54354190	54356767	.	2578	23.06	24.03	25.29	12.71	12.67	17.51	25.22	20.08	34.31	21.88	26.92	35.71	46.42	50.27	39.2	28.27
peak18552	chr14	54501541	54505334	.	3794	40.14	36.5	36.71	40.67	30.76	37.65	28.7	39.36	35.53	44.79	35.48	41.46	47.55	34.97	35.64	39.58
peak18553	chr14	54528745	54537942	.	9198	46.12	55.19	58.74	50.83	49.76	56.03	47.83	63.46	56.37	82.29	56.28	56.44	76.99	80.86	77.22	73.5
peak18554	chr14	54761474	54765204	.	3731	25.62	29.37	26.1	31.35	28.95	36.77	21.74	29.72	26.96	42.71	30.59	25.34	31.7	29.5	27.32	26.01
peak18555	chr14	55226327	55229790	.	3464	49.53	40.95	48.95	52.53	48.86	43.78	46.09	55.43	52.69	47.92	31.81	55.29	44.16	59.01	43.96	61.06
peak18556	chr14	55314423	55318683	.	4261	47.83	53.41	54.66	47.44	45.24	65.66	51.31	49.81	51.46	41.67	46.49	46.07	43.03	54.64	53.46	46.36
peak18557	chr14	55327615	55330002	.	2388	19.64	17.8	20.39	12.71	24.43	20.14	14.79	15.26	26.96	18.75	19.58	16.13	24.91	17.48	23.76	15.83
peak18559	chr14	55395439	55397165	.	1727	16.23	20.47	19.58	16.94	19	11.38	14.79	17.67	17.15	14.58	19.58	13.82	10.19	15.3	19.01	18.09
peak18560	chr14	55446061	55448632	.	2572	18.79	22.25	17.13	16.1	26.24	28.89	22.61	21.69	18.38	23.96	19.58	32.25	28.31	27.32	23.76	28.27
peak18561	chr14	55453145	55456793	.	3649	32.45	20.47	31.81	20.33	23.52	34.15	28.7	22.49	18.38	22.92	18.35	26.49	23.78	24.04	26.14	20.35
peak18562	chr14	55693174	55695350	.	2177	30.75	38.28	31.81	34.74	34.38	25.39	26.96	27.31	39.21	25	26.92	26.49	46.42	45.89	39.2	47.49
peak18563	chr14	55795058	55810371	.	15314	187.04	211.85	188.44	220.28	211.71	215.38	219.17	191.99	169.1	173.96	219.01	190.05	174.37	207.62	203.15	223.9
peak18565	chr14	55976658	55986965	.	10308	138.36	128.18	120.73	125.39	128.47	163.72	133.94	141.38	122.53	106.25	119.91	114.03	123.41	137.68	116.43	126.65
peak18566	chr14	56001484	56004843	.	3360	28.18	32.94	18.76	28.81	23.52	30.64	27.83	32.94	8.58	15.63	12.24	19.58	6.79	19.67	19.01	16.96
peak18567	chr14	56063995	56073362	.	9368	79.43	72.99	57.92	69.47	76.9	70.92	61.75	77.12	64.94	67.71	59.95	57.59	67.93	74.31	68.9	59.93
peak18568	chr14	56110110	56115575	.	5466	50.39	63.2	56.29	66.93	53.38	60.41	50.44	61.05	60.04	65.63	57.51	67.96	75.86	68.84	70.09	53.15
peak18569	chr14	56136806	56140957	.	4152	32.45	19.58	22.84	22.03	29.86	23.64	19.13	28.12	11.03	11.46	9.79	8.06	12.45	4.37	11.88	12.44
peak18570	chr14	56145021	56150315	.	5295	49.53	54.3	55.47	44.06	55.19	41.15	45.22	36.15	35.53	41.67	37.93	33.4	43.03	45.89	41.58	31.66
peak18571	chr14	56188489	56202081	.	13593	210.1	176.25	189.26	190.62	185.47	191.74	180.03	165.48	181.35	187.5	166.4	192.35	183.42	190.14	178.2	206.94
peak18572	chr14	56212016	56217580	.	5565	65.76	68.54	59.55	72.01	70.57	58.66	60.01	60.25	56.37	50	44.05	51.83	66.8	69.93	47.52	65.59
peak18573	chr14	56222988	56226056	.	3069	16.23	15.13	14.68	8.47	14.48	4.38	11.31	16.87	12.25	9.38	23.25	9.21	18.12	24.04	17.82	19.22
peak18574	chr14	56244191	56253788	.	9598	68.32	75.66	82.39	74.55	79.62	84.93	86.97	76.32	60.04	52.08	73.41	43.77	72.46	61.19	93.85	81.42
peak18575	chr14	56344096	56347288	.	3193	29.04	36.5	17.95	22.03	20.81	25.39	25.22	27.31	18.38	13.54	23.25	25.34	24.91	28.41	33.26	24.88
peak18576	chr14	56448016	56449305	.	1290	21.35	12.46	13.87	9.32	9.95	11.38	13.05	13.66	8.58	13.54	15.91	19.58	15.85	16.39	8.32	18.09
peak18577	chr14	56453562	56457005	.	3444	36.72	17.8	26.92	19.49	30.76	25.39	32.18	30.53	26.96	13.54	18.35	19.58	29.44	27.32	22.57	26.01
peak18578	chr14	56537814	56539553	.	1740	22.21	18.69	15.5	10.17	20.81	20.14	21.74	20.89	20.83	17.71	15.91	27.64	21.51	17.48	16.63	16.96
peak18579	chr14	56651625	56654249	.	2625	19.64	27.59	22.03	21.18	23.52	26.27	22.61	17.67	3.68	13.54	6.12	8.06	20.38	13.11	14.26	18.09
peak18580	chr14	56829622	56830919	.	1298	8.54	13.35	9.79	8.47	9.95	14.01	10.44	14.46	9.8	5.21	13.46	5.76	18.12	27.32	20.2	23.75
peak18581	chr14	56851872	56856956	.	5085	152.02	143.31	144.39	169.44	186.38	194.37	165.24	164.68	131.11	157.3	138.26	141.67	194.75	210.9	165.13	197.89
peak18582	chr14	56869979	56871847	.	1869	21.35	34.72	26.92	45.75	28.05	17.51	30.44	28.92	7.35	25	12.24	26.49	16.98	18.58	23.76	12.44
peak18583	chr14	56992222	57001227	.	9006	99.92	97.92	112.58	99.97	104.95	89.3	86.1	89.97	98.03	100	100.33	86.38	106.43	98.35	92.67	96.12
peak18584	chr14	57008940	57013265	.	4326	24.77	35.61	22.03	28.81	28.95	18.39	32.18	28.12	34.31	34.38	24.47	40.31	36.23	32.78	36.83	39.58
peak18585	chr14	57210801	57215939	.	5139	29.04	25.81	24.47	28.81	21.71	28.02	21.74	35.35	18.38	14.58	14.68	18.43	20.38	10.93	20.2	13.57
peak18587	chr14	57278668	57280479	.	1812	15.37	23.14	14.68	16.1	24.43	18.39	20.87	16.87	14.7	11.46	14.68	18.43	14.72	16.39	10.69	10.18
peak18588	chr14	57574245	57577911	.	3667	25.62	36.5	33.45	22.87	27.14	33.27	22.61	29.72	37.99	33.33	44.05	25.34	36.23	40.43	45.14	44.1
peak18591	chr14	57923109	57925239	.	2131	11.96	25.81	18.76	22.03	16.29	14.01	12.18	15.26	25.73	16.67	9.79	21.88	30.57	29.5	27.32	33.92
peak18592	chr14	57990045	57994170	.	4126	27.33	29.37	28.55	37.28	32.57	24.51	29.57	25.71	49.01	44.79	28.14	57.59	52.08	57.91	47.52	67.85
peak18593	chr14	58052489	58059813	.	7325	81.13	78.33	93.81	97.43	107.66	94.56	95.67	91.58	110.28	114.59	107.67	111.72	141.53	150.8	116.43	157.18
peak18594	chr14	58175532	58181666	.	6135	35.87	29.37	38.34	29.65	38	37.65	34.79	34.54	30.63	44.79	48.94	51.83	22.64	14.21	24.95	11.31
peak18595	chr14	58184725	58196571	.	11847	48.68	48.96	46.5	45.75	38	55.16	42.62	49.81	61.27	87.5	67.29	116.33	36.23	31.69	48.71	30.53
peak18596	chr14	58206785	58661242	.	454458	3091.65	3126.17	3096.65	3019.46	3108.67	3095.01	3052.68	3055.01	5112.11	5103.26	5302.77	5134.72	3163.49	3268.36	3558.11	3330.27
peak18597	chr14	58664842	58700624	.	35783	193.01	210.07	187.63	191.47	202.66	221.51	204.38	220.91	325.94	310.42	352.38	330.57	181.16	179.21	225.72	209.2
peak18598	chr14	58702965	58713406	.	10442	61.49	59.64	63.63	58.46	59.71	52.53	55.66	57.84	95.58	118.75	111.34	88.69	56.61	40.43	58.21	48.63
peak18599	chr14	58720860	58724072	.	3213	17.93	21.36	16.32	16.94	28.05	14.01	21.74	17.67	34.31	25	39.15	42.62	16.98	17.48	17.82	16.96
peak18600	chr14	58729623	58842208	.	112586	772.06	729.91	787.22	776.05	743.69	739.82	792.31	780.02	1146.92	1143.78	1188.05	1161.01	623.87	604.28	654.6	652.48
peak18601	chr14	58844200	58860218	.	16019	97.36	84.56	99.52	72.01	70.57	71.79	68.71	84.35	121.31	128.13	146.82	158.95	63.41	62.29	87.91	63.33
peak18602	chr14	58861349	58902746	.	41398	245.11	233.22	209.65	204.18	246.09	232.02	228.73	228.95	367.6	337.51	305.88	348.99	161.91	183.58	224.53	191.11
peak18603	chr14	58908071	58916446	.	8376	40.14	51.63	60.37	44.9	40.71	58.66	40.88	42.58	55.14	64.58	79.53	64.5	45.29	33.87	39.2	48.63
peak18604	chr14	58926052	58936605	.	10554	87.97	96.13	83.21	75.4	83.24	83.18	71.32	98.81	109.06	91.67	68.52	81.78	50.95	71.03	89.1	62.2
peak18605	chr14	58946896	58959600	.	12705	123.84	130.85	118.29	138.94	114	119.07	125.24	122.91	112.73	141.67	127.25	124.39	84.92	98.35	110.49	108.56
peak18606	chr14	58969831	58978949	.	9119	40.14	42.73	50.58	54.22	40.71	42.03	42.62	40.17	44.11	54.17	47.72	63.35	21.51	21.85	27.32	24.88
peak18607	chr14	58995219	59001897	.	6679	50.39	42.73	42.42	36.43	31.67	33.27	35.66	34.54	30.63	32.29	42.82	32.25	18.12	18.58	19.01	16.96
peak18608	chr14	59013103	59033129	.	20027	191.31	183.37	160.71	155.04	149.28	166.35	150.46	152.63	113.96	120.84	129.69	141.67	97.37	75.4	91.48	114.21
peak18609	chr14	59086550	59088601	.	2052	25.62	21.36	17.95	20.33	17.19	29.77	26.09	28.92	9.8	11.46	9.79	13.82	11.32	8.74	7.13	7.92
peak18610	chr14	59122921	59125342	.	2422	17.93	16.02	13.05	11.86	25.33	21.01	13.92	11.25	6.13	11.46	8.56	11.52	7.93	15.3	13.07	19.22
peak18611	chr14	59165358	59174307	.	8950	97.36	93.46	90.55	110.14	95	104.19	96.54	107.64	101.7	80.21	99.11	85.23	103.03	102.72	97.42	90.47
peak18612	chr14	59238030	59243663	.	5634	65.76	70.32	64.45	73.71	72.38	79.67	80.01	75.51	44.11	36.46	45.27	46.07	41.89	27.32	41.58	39.58
peak18613	chr14	59263874	59269440	.	5567	78.57	69.43	81.58	61.85	72.38	68.29	67.84	78.73	67.39	61.46	66.07	55.29	76.99	60.1	66.53	67.85
peak18614	chr14	59301509	59313699	.	12191	136.65	130.85	151.73	158.43	147.47	159.35	140.02	138.97	160.52	122.92	148.05	155.49	155.12	165	158.01	147.01
peak18615	chr14	59370546	59378763	.	8218	118.71	127.29	142.76	115.22	99.52	123.45	100.02	105.23	49.01	43.75	41.6	38.01	35.1	34.97	43.96	52.02
peak18616	chr14	59428241	59429469	.	1229	8.54	8.9	5.71	3.39	1.81	5.25	9.57	6.43	9.8	14.58	14.68	16.13	27.17	28.41	30.89	36.19
peak18617	chr14	59488565	59490321	.	1757	14.52	15.13	14.68	17.79	15.38	14.01	23.48	12.85	14.7	15.63	23.25	10.37	12.45	13.11	15.44	19.22
peak18618	chr14	59611786	59613205	.	1420	8.54	13.35	8.97	11.86	13.57	8.76	11.31	19.28	14.7	15.63	7.34	17.28	15.85	25.13	26.14	18.09
peak18619	chr14	59774981	59777725	.	2745	27.33	16.02	22.84	19.49	11.76	24.51	20	24.9	23.28	22.92	34.26	27.64	29.44	32.78	32.08	26.01
peak18620	chr14	59817595	59819220	.	1626	29.89	24.92	31.81	36.43	20.81	25.39	19.13	27.31	6.13	6.25	3.67	1.15	15.85	15.3	13.07	11.31
peak18621	chr14	59833371	59835217	.	1847	18.79	14.24	17.95	15.25	26.24	20.14	13.92	26.51	18.38	28.13	15.91	18.43	19.25	19.67	15.44	22.62
peak18622	chr14	59863309	59866576	.	3268	18.79	22.25	21.21	14.4	8.14	10.51	14.79	16.87	20.83	17.71	15.91	13.82	27.17	19.67	34.45	22.62
peak18623	chr14	59981083	59986730	.	5648	82.84	80.11	93	76.25	81.43	73.54	73.06	76.32	105.38	88.54	86.87	77.17	66.8	86.33	73.66	88.2
peak18624	chr14	60050941	60052466	.	1526	35.02	23.14	18.76	23.72	36.19	34.15	32.18	20.08	13.48	2.08	9.79	3.46	12.45	10.93	10.69	7.92
peak18625	chr14	60155853	60161687	.	5835	72.59	79.22	66.08	90.65	71.47	81.42	68.71	73.91	91.9	85.42	66.07	102.51	67.93	80.86	83.16	102.9
peak18626	chr14	60313617	60317377	.	3761	39.29	40.06	37.53	44.9	45.24	36.77	31.31	39.36	11.03	14.58	17.13	12.67	19.25	19.67	22.57	14.7
peak18627	chr14	60327801	60339489	.	11689	130.67	136.19	143.58	118.61	120.33	135.71	108.71	126.92	136.01	125	119.91	124.39	117.75	126.76	147.31	117.61
peak18628	chr14	60350999	60357078	.	6080	70.89	63.2	66.08	79.64	75.09	76.17	73.06	66.68	67.39	59.38	79.53	56.44	79.26	77.58	84.35	80.29
peak18629	chr14	60476359	60482579	.	6221	48.68	68.54	57.1	50.83	73.28	59.54	64.36	73.1	74.75	70.84	78.31	58.74	74.73	80.86	77.22	83.68
peak18630	chr14	60507621	60510707	.	3087	40.99	28.48	33.45	29.65	33.48	34.15	31.31	20.89	37.99	34.38	26.92	17.28	28.31	32.78	21.38	36.19
peak18631	chr14	60564150	60569733	.	5584	87.11	75.66	68.52	75.4	85.05	57.79	66.1	71.5	100.48	103.13	86.87	96.75	96.24	111.46	104.55	116.47
