peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K4me3_Rep1_S1	Naive_P14_Day30_H3K4me3_Rep2_S2	Naive_P14_Day30_H3K4me3_Rep3_S3	Naive_P14_Day30_H3K4me3_Rep4_S4	Naive_P14_Day32_H3K4me3_Rep1_S9	Naive_P14_Day32_H3K4me3_Rep2_S10	Naive_P14_Day32_H3K4me3_Rep3_S11	Naive_P14_Day32_H3K4me3_Rep4_S12	Arm_P14_Day30_H3K4me3_Rep1_S5
peak44203	chr17	15741893	15744805	.	2913	230.07	226.29	221.04	249.43	205.66	210.28	193.89	219.1	59.94
peak44205	chr17	15815966	15817629	.	1664	359.16	391.17	449.86	395.11	450.22	481.5	475.35	538.98	235.78
peak44206	chr17	15821461	15822322	.	862	141.58	154.65	146.32	142.37	135.67	150.68	135.82	151.16	35.97
peak44207	chr17	15824686	15827613	.	2928	727.69	652.71	660.01	673.23	878.83	806.96	839.02	863.43	537.5
peak44208	chr17	15829224	15832146	.	2923	551.75	571.97	521.47	610.32	564.28	593.34	593.3	636.69	325.7
peak44209	chr17	16950613	16953159	.	2547	642.32	620.87	624.2	592.66	803.65	789.55	856	906.95	643.4
peak44210	chr17	17004110	17006897	.	2788	657.94	662.94	608.64	716.27	892.65	874.6	897.1	948.17	719.33
peak44211	chr17	17063276	17065449	.	2174	132.21	123.95	108.96	131.34	177.15	169.43	188.53	177.88	171.84
peak44212	chr17	17120007	17124651	.	4645	658.98	643.61	616.42	635.71	977.34	918.13	914.97	987.11	735.32
peak44213	chr17	17178426	17181539	.	3114	647.53	620.87	589.96	643.43	973.02	892.01	939.99	1004.66	758.29
peak44214	chr17	17233863	17236703	.	2841	801.6	867.62	801.66	843.2	1141.52	1062.11	1132.99	1122.23	857.2
peak44215	chr17	17293375	17296518	.	3144	715.19	694.78	703.59	748.28	939.32	931.52	946.24	984.82	759.29
peak44216	chr17	17345117	17347523	.	2407	265.46	277.46	267.74	277.02	229.86	192.2	200.15	206.12	176.84
peak44217	chr17	17372873	17376053	.	3181	805.76	795.99	739.39	752.7	1055.11	1040.01	1058.83	1061.92	809.25
peak44218	chr17	17396897	17399296	.	2400	62.46	48.9	45.14	48.56	31.97	34.82	41.1	31.3	92.91
peak44219	chr17	17404575	17405763	.	1189	84.32	92.11	99.62	81.67	73.45	71.66	82.2	58.78	26.97
peak44220	chr17	17423764	17425407	.	1644	60.38	68.23	68.49	60.7	44.94	46.21	45.57	61.07	34.97
peak44222	chr17	17441567	17442882	.	1316	96.82	93.24	84.06	101.54	76.04	81.03	75.06	71.76	25.98
peak44223	chr17	17443998	17444931	.	934	82.24	90.97	99.62	111.47	87.28	80.36	75.95	104.59	24.98
peak44224	chr17	17448114	17449617	.	1504	235.27	220.6	259.96	250.53	215.17	257.83	264.48	280.94	69.93
peak44225	chr17	17580637	17582158	.	1522	87.45	76.19	91.84	88.29	54.44	59.6	48.25	45.04	62.94
peak44226	chr17	17584340	17585786	.	1447	76	65.95	80.94	64.01	42.34	44.2	55.4	48.86	92.91
peak44227	chr17	17587147	17588839	.	1693	98.9	137.59	152.55	123.61	101.1	92.42	93.82	74.05	115.89
peak44228	chr17	17591027	17592003	.	977	57.26	83.01	43.59	56.29	49.26	36.83	35.74	38.93	69.93
peak44229	chr17	17597182	17597850	.	669	76	96.66	85.61	73.95	78.64	60.27	68.8	76.34	83.92
peak44230	chr17	17599587	17602399	.	2813	344.58	420.73	410.95	411.66	340.47	304.03	292.18	305.37	488.55
peak44231	chr17	17604198	17605086	.	889	80.16	72.78	91.84	90.5	49.26	58.93	50.93	48.1	133.88
peak44232	chr17	17606984	17610553	.	3570	338.34	340	317.55	338.82	209.12	241.75	234.1	258.04	359.67
peak44233	chr17	17617347	17619963	.	2617	391.43	412.78	409.39	392.9	368.99	336.85	416.38	396.98	469.56
peak44234	chr17	17620916	17626499	.	5584	1435.59	1477.12	1430.53	1404.96	1881.23	1776.66	1815.64	1815.42	1617.49
peak44235	chr17	17635163	17637805	.	2643	229.03	250.17	235.05	227.35	208.26	198.89	203.72	199.25	110.9
peak44236	chr17	17645072	17646405	.	1334	57.26	39.8	59.15	45.25	44.07	43.53	43.78	42.75	44.96
peak44238	chr17	17654598	17656856	.	2259	181.14	171.71	189.91	158.93	139.99	123.89	147.43	127.49	96.91
peak44239	chr17	17750383	17752904	.	2522	86.41	89.83	85.61	91.6	38.89	46.88	50.93	41.22	58.95
peak44240	chr17	17762752	17764155	.	1404	85.37	75.05	98.07	80.57	31.97	36.83	34.85	30.54	46.96
peak44242	chr17	17770137	17771883	.	1747	77.04	48.9	77.83	73.95	41.48	28.13	45.57	24.43	44.96
peak44243	chr17	17824578	17828709	.	4132	525.72	569.7	490.34	566.18	588.48	588.65	620.11	647.38	548.49
peak44244	chr17	17837605	17839653	.	2049	430.99	448.03	396.94	444.77	578.11	537.75	596.87	613.03	462.57
peak44245	chr17	17845188	17846632	.	1445	32.27	32.98	29.58	37.52	15.55	15.4	16.08	19.09	76.93
peak44248	chr17	17900324	17901741	.	1418	67.67	63.68	88.73	66.22	45.8	34.15	39.32	35.88	39.96
peak44249	chr17	17909119	17910987	.	1869	209.25	195.58	180.57	194.24	243.69	239.08	282.35	234.37	257.76
peak44251	chr17	18004482	18005696	.	1215	56.22	68.23	63.82	68.43	41.48	43.53	50.04	43.52	13.99
peak44259	chr17	18457230	18459018	.	1789	60.38	46.62	68.49	52.98	48.39	50.9	52.72	64.89	20.98
peak44260	chr17	18557845	18560101	.	2257	145.75	159.2	161.89	151.2	229	243.76	205.51	194.67	198.81
peak44261	chr17	18595855	18598280	.	2426	113.47	121.67	126.09	123.61	101.1	93.09	120.63	100.77	66.94
peak44262	chr17	18614108	18617231	.	3124	81.2	64.82	91.84	84.98	58.76	54.91	57.19	64.13	50.95
peak44263	chr17	18705493	18707118	.	1626	53.09	75.05	62.26	73.95	74.32	58.26	58.08	61.84	32.97
peak44264	chr17	18837078	18838930	.	1853	71.83	69.36	60.71	57.39	66.54	83.04	55.4	60.31	42.96
peak44265	chr17	18888681	18890379	.	1699	109.31	108.03	110.52	114.78	139.13	145.32	155.47	146.58	70.93
peak44266	chr17	18898477	18901011	.	2535	71.83	77.32	71.6	57.39	90.73	79.69	95.61	85.5	46.96
peak44267	chr17	18946447	18948032	.	1586	76	80.74	85.61	91.6	74.32	76.34	85.78	78.63	53.95
peak44268	chr17	18956875	18960377	.	3503	191.55	176.25	166.56	184.31	142.58	139.29	145.64	135.13	111.9
peak44269	chr17	18967495	18969731	.	2237	236.32	244.48	247.5	242.8	375.9	353.59	381.53	406.9	250.77
peak44271	chr17	19225722	19227933	.	2212	69.75	61.4	65.38	67.32	76.04	54.24	69.69	63.36	84.92
peak44272	chr17	19434744	19438540	.	3797	102.02	115.99	113.63	93.81	104.56	99.11	107.22	100.01	189.82
peak44273	chr17	20944082	20948268	.	4187	929.65	934.71	899.73	953.56	1258.18	1172.61	1283.1	1226.06	1135.94
peak44274	chr17	21008169	21010546	.	2378	482	448.03	414.06	444.77	609.22	600.7	603.13	613.03	501.53
peak44275	chr17	21214014	21215477	.	1464	8.33	7.96	14.01	13.24	5.18	3.35	7.15	7.63	67.94
peak44277	chr17	21256960	21258559	.	1600	69.75	51.17	63.82	41.94	25.06	18.08	36.63	25.19	48.95
peak44278	chr17	21271654	21272719	.	1066	68.71	56.86	56.04	50.77	47.53	47.55	56.29	45.81	50.95
peak44279	chr17	21369394	21371206	.	1813	245.69	225.15	253.73	208.59	244.55	236.4	219.81	251.17	256.76
peak44280	chr17	21375465	21378472	.	3008	122.84	113.71	135.43	146.79	50.12	56.25	63.44	45.81	130.88
peak44281	chr17	21383049	21385435	.	2387	470.55	457.12	471.66	462.43	522.8	511.63	545.05	556.54	552.49
peak44282	chr17	21422345	21424424	.	2080	435.15	367.29	344.01	403.94	509.84	497.57	537.01	534.4	410.62
peak44283	chr17	21449624	21452518	.	2895	599.64	569.7	605.53	611.43	755.26	753.39	785.41	788.62	582.46
peak44284	chr17	21462952	21464451	.	1500	234.23	238.8	211.7	238.39	207.39	173.45	219.81	207.65	251.77
peak44285	chr17	21472077	21479025	.	6949	715.19	683.41	642.88	678.75	888.33	861.88	931.95	890.91	979.09
peak44286	chr17	21488442	21493245	.	4804	974.41	922.21	974.44	944.73	1294.48	1214.13	1293.82	1235.22	935.13
peak44287	chr17	21497989	21499073	.	1085	35.4	46.62	49.81	35.32	33.7	28.8	25.91	23.67	38.96
peak44288	chr17	21515355	21517980	.	2626	565.28	566.29	479.44	561.76	654.15	655.62	659.42	680.97	623.42
peak44289	chr17	21531800	21533543	.	1744	365.4	324.08	368.92	332.2	465.77	410.51	417.28	463.4	379.65
peak44290	chr17	21534450	21537283	.	2834	423.7	409.36	420.29	438.15	515.03	522.35	475.35	517.6	554.48
peak44291	chr17	21565961	21567795	.	1835	290.45	314.98	278.63	292.47	311.09	288.63	327.03	347.36	317.7
peak44292	chr17	21616483	21619274	.	2792	172.81	137.59	166.56	140.16	138.26	116.52	127.77	148.87	99.91
peak44293	chr17	21649782	21652951	.	3170	383.1	393.44	334.67	348.76	447.62	465.43	469.1	460.34	470.56
peak44294	chr17	21679090	21681357	.	2268	425.78	423.01	390.71	400.63	547.86	541.77	558.45	555.77	492.54
peak44295	chr17	21706473	21709907	.	3435	778.7	742.54	776.75	790.22	1001.53	956.97	1022.19	948.94	858.2
peak44296	chr17	21732852	21734982	.	2131	402.88	413.91	361.14	386.28	415.65	450.69	452.12	457.29	421.61
peak44297	chr17	21844419	21846637	.	2219	354.99	324.08	306.65	304.61	336.15	364.31	363.66	327.51	144.87
peak44298	chr17	21907623	21910434	.	2812	491.37	516.25	526.14	523.13	549.59	579.94	637.98	639.75	592.45
peak44299	chr17	21960314	21964168	.	3855	1047.29	948.36	1000.91	882.93	1321.27	1325.96	1389.43	1399.35	982.09
peak44300	chr17	21969872	21972201	.	2330	59.34	34.11	79.39	51.87	39.75	30.14	36.63	34.35	62.94
peak44301	chr17	22079556	22082404	.	2849	245.69	246.76	242.83	253.84	162.46	166.75	178.7	153.45	224.79
peak44302	chr17	22164659	22166856	.	2198	333.13	328.63	319.11	341.03	368.12	335.51	371.71	388.58	278.74
peak44303	chr17	22223483	22226577	.	3095	504.9	501.47	445.19	528.65	636.87	646.24	637.08	619.9	568.47
peak44304	chr17	22313349	22315851	.	2503	514.27	549.23	572.84	541.9	725.88	680.39	688.01	719.91	574.47
peak44305	chr17	22359932	22363462	.	3531	801.6	815.32	745.62	833.26	1098.32	1103.63	1111.54	1075.66	777.28
peak44306	chr17	22422900	22426435	.	3536	654.81	699.33	641.33	653.37	867.59	857.86	888.16	828.31	672.37
peak44307	chr17	22737548	22740946	.	3399	854.69	878.99	826.57	863.06	1021.41	1004.52	1061.51	1074.14	964.1
peak44308	chr17	22816588	22818894	.	2307	518.44	544.68	378.26	492.23	517.62	503.6	502.16	515.31	458.57
peak44309	chr17	22864770	22867634	.	2865	559.04	619.73	600.86	566.18	794.14	782.85	811.32	830.6	617.43
peak44311	chr17	23191992	23195553	.	3562	687.09	726.62	740.95	693.1	911.66	857.86	871.19	878.7	917.15
peak44312	chr17	23532889	23536449	.	3561	536.14	512.84	526.14	524.24	356.89	324.12	320.78	354.99	847.21
peak44313	chr17	23537552	23539023	.	1472	214.45	226.29	194.58	229.56	139.13	157.37	134.03	133.6	291.73
peak44314	chr17	23542841	23543855	.	1015	79.12	60.27	73.16	77.26	50.98	64.29	58.08	50.39	153.86
peak44315	chr17	23546452	23547931	.	1480	200.92	180.8	165	196.45	296.4	291.31	323.46	319.87	253.76
peak44316	chr17	23548500	23551688	.	3189	640.24	582.21	510.57	621.36	861.54	864.56	839.02	881.75	707.34
peak44317	chr17	23562989	23565528	.	2540	486.17	470.77	477.88	470.16	636.87	596.01	705.88	685.55	517.52
peak44319	chr17	23585171	23586845	.	1675	94.73	90.97	73.16	81.67	51.85	53.57	57.19	52.68	68.94
peak44320	chr17	23592097	23593702	.	1606	312.31	292.24	359.58	343.24	349.98	344.88	368.13	377.13	299.72
peak44321	chr17	23598250	23600329	.	2080	411.21	411.64	381.37	379.66	438.12	460.74	481.61	486.3	484.55
peak44322	chr17	23609836	23611226	.	1391	133.25	103.48	110.52	121.4	130.48	127.91	108.12	126.73	104.9
peak44323	chr17	23615992	23618565	.	2574	136.38	186.49	146.32	155.62	127.89	125.9	105.44	112.22	112.89
peak44324	chr17	23619951	23620973	.	1023	74.95	83.01	76.27	86.09	59.63	64.29	58.08	60.31	40.96
peak44325	chr17	23629922	23631018	.	1097	59.34	61.4	62.26	68.43	63.95	61.61	56.29	63.36	50.95
peak44326	chr17	23643457	23645630	.	2174	82.24	118.26	98.07	89.4	56.17	55.58	58.08	55.73	113.89
peak44327	chr17	23659839	23661940	.	2102	128.05	129.63	126.09	140.16	97.65	95.09	110.8	75.58	120.89
peak44328	chr17	23672910	23674629	.	1720	323.76	338.86	255.29	322.27	421.7	387.07	376.17	367.21	381.64
peak44329	chr17	23675948	23678020	.	2073	285.24	278.59	269.3	286.95	343.06	358.95	355.62	372.55	288.73
peak44330	chr17	23697918	23702057	.	4140	336.26	316.12	354.91	325.58	260.97	244.43	267.16	254.22	337.69
peak44331	chr17	23725414	23728073	.	2660	341.46	344.55	367.36	365.31	361.21	399.13	393.15	395.45	342.68
peak44332	chr17	23739021	23743019	.	3999	647.53	632.24	652.22	637.91	778.59	760.76	659.42	736.7	642.4
peak44333	chr17	23745101	23746763	.	1663	190.51	205.82	183.68	192.04	147.77	157.37	165.3	172.53	109.9
peak44334	chr17	23747978	23749665	.	1688	116.6	122.81	102.74	139.06	110.61	113.85	110.8	101.54	122.89
peak44336	chr17	23770285	23772316	.	2032	354.99	368.43	428.07	365.31	445.89	410.51	418.17	414.54	374.65
peak44337	chr17	23773943	23774682	.	740	56.22	48.9	46.7	51.87	44.94	37.5	35.74	56.49	58.95
peak44338	chr17	23784855	23786708	.	1854	134.29	122.81	132.31	137.96	132.21	113.18	111.69	112.22	136.87
peak44339	chr17	23789863	23791811	.	1949	560.08	524.21	484.11	486.71	603.17	579.27	612.96	598.52	453.58
peak44340	chr17	23796775	23798188	.	1414	160.32	155.79	166.56	158.93	115.79	139.29	147.43	150.39	181.83
peak44341	chr17	23802192	23807409	.	5218	1083.72	1047.29	979.11	1040.75	1312.62	1342.71	1288.46	1328.36	1097.98
peak44342	chr17	23826977	23829984	.	3008	403.92	457.12	382.93	483.4	454.54	466.77	445.87	463.4	415.61
peak44344	chr17	23843470	23844856	.	1387	36.44	36.39	43.59	45.25	30.24	30.81	22.34	22.14	60.94
peak44345	chr17	23858245	23859487	.	1243	113.47	120.53	107.41	128.02	82.09	79.02	78.63	93.14	28.97
peak44346	chr17	23923988	23925845	.	1858	470.55	457.12	445.19	478.99	503.79	490.87	507.52	484.01	541.5
peak44347	chr17	23978487	23981306	.	2820	257.14	252.44	297.31	291.37	267.02	260.51	244.83	259.56	364.66
peak44350	chr17	24071693	24074191	.	2499	330.01	345.68	358.02	326.68	334.42	330.82	397.62	361.86	329.69
peak44351	chr17	24126138	24128390	.	2253	292.53	345.68	298.87	289.16	217.76	263.85	222.49	229.79	247.77
peak44352	chr17	24139547	24142546	.	3000	528.85	485.55	496.56	496.65	640.33	635.53	630.83	600.81	576.46
peak44353	chr17	24151436	24152966	.	1531	189.47	202.41	211.7	207.49	187.52	160.72	159.05	167.19	218.8
peak44354	chr17	24161930	24164126	.	2197	240.48	234.25	214.81	256.05	292.94	310.73	299.33	317.58	298.72
peak44355	chr17	24168139	24170363	.	2225	430.99	437.79	415.62	429.32	510.7	514.98	579.9	534.4	431.6
peak44356	chr17	24204838	24207512	.	2675	498.66	494.65	487.22	513.2	572.06	562.53	579	556.54	494.54
peak44357	chr17	24208740	24209326	.	587	85.37	76.19	96.51	87.19	65.67	62.95	77.74	82.45	65.94
peak44358	chr17	24211364	24212994	.	1631	190.51	180.8	194.58	176.59	145.18	169.43	156.37	158.79	193.82
peak44359	chr17	24219781	24221537	.	1757	384.14	375.25	333.12	374.14	402.69	413.86	389.58	396.22	364.66
peak44360	chr17	24249980	24252908	.	2929	575.69	558.33	523.02	529.76	588.48	585.3	586.15	619.14	528.51
peak44361	chr17	24288581	24290196	.	1616	113.47	94.38	85.61	94.91	82.09	94.42	85.78	67.94	45.96
peak44362	chr17	24344230	24345784	.	1555	407.05	371.84	386.04	406.15	464.04	469.44	490.54	478.67	249.77
peak44363	chr17	24349020	24350057	.	1038	89.53	75.05	91.84	81.67	53.58	60.27	69.69	63.36	182.83
peak44364	chr17	24350639	24353710	.	3072	881.76	860.8	823.45	825.54	1094	1078.18	1136.56	1123.76	673.37
peak44365	chr17	24353936	24354915	.	980	151.99	142.14	138.54	137.96	109.75	112.51	111.69	113.75	72.93
peak44366	chr17	24413192	24416541	.	3350	651.69	654.98	597.74	654.47	808.83	852.5	760.39	829.08	720.33
peak44367	chr17	24425948	24428260	.	2313	417.46	433.24	414.06	480.09	494.29	456.05	449.44	466.45	480.55
peak44368	chr17	24453670	24455971	.	2302	487.21	501.47	484.11	487.82	614.4	545.12	560.24	593.18	518.52
peak44369	chr17	24469213	24472269	.	3057	534.05	525.35	555.71	554.04	641.19	656.29	611.17	620.66	581.46
peak44370	chr17	24478210	24479951	.	1742	324.8	353.64	306.65	315.65	414.79	386.4	405.66	372.55	347.68
peak44371	chr17	24487218	24489827	.	2610	172.81	203.54	172.78	207.49	159.87	145.32	168.88	132.84	181.83
peak44372	chr17	24526754	24529618	.	2865	820.34	817.59	809.44	815.6	1074.12	1009.88	1024.87	993.21	823.23
peak44373	chr17	24532967	24534197	.	1231	112.43	88.7	121.42	88.29	101.1	87.73	94.71	104.59	132.88
peak44375	chr17	24548127	24551278	.	3152	972.33	931.3	912.18	934.8	1366.2	1303.86	1233.06	1242.85	919.14
peak44376	chr17	24562583	24564520	.	1938	37.48	50.03	49.81	41.94	28.52	21.43	17.87	25.19	93.91
peak44377	chr17	24631604	24633819	.	2216	341.46	362.74	354.91	331.1	380.22	385.07	397.62	371.02	288.73
peak44378	chr17	24648887	24651412	.	2526	211.33	227.42	210.14	211.9	155.54	163.4	155.47	155.74	175.84
peak44379	chr17	24653604	24654449	.	846	35.4	30.7	48.26	60.7	50.12	40.85	35.74	40.46	51.95
peak44380	chr17	24657580	24659081	.	1502	175.94	217.19	186.79	185.41	155.54	150.01	151.01	151.16	122.89
peak44381	chr17	24669020	24672416	.	3397	385.18	350.23	375.15	354.27	293.81	310.73	322.56	316.82	410.62
peak44382	chr17	24686493	24690524	.	4032	412.25	390.03	378.26	400.63	319.73	353.59	335.07	338.2	449.58
peak44383	chr17	24695270	24697310	.	2041	241.52	229.7	269.3	208.59	278.25	250.46	276.99	254.98	236.78
peak44384	chr17	24706651	24709166	.	2516	397.68	342.27	331.56	359.79	437.25	443.33	465.53	480.19	373.65
peak44385	chr17	24718950	24721690	.	2741	351.87	311.57	281.75	329.99	447.62	409.17	454.8	420.65	312.71
peak44386	chr17	24722956	24724813	.	1858	312.31	313.85	287.97	322.27	328.37	374.35	342.22	352.7	262.76
peak44387	chr17	24735917	24738045	.	2129	275.88	307.02	267.74	294.68	377.63	330.15	351.16	379.42	334.69
peak44389	chr17	24752170	24754442	.	2273	264.42	297.93	252.17	303.51	219.49	197.56	206.4	213	262.76
peak44390	chr17	24803016	24805965	.	2950	434.11	440.07	435.85	409.46	413.92	412.52	402.98	403.09	383.64
peak44391	chr17	24806275	24806887	.	613	64.54	64.82	56.04	70.63	50.98	38.17	34.85	31.3	51.95
peak44392	chr17	24849018	24851665	.	2648	704.78	759.6	719.16	656.68	973.02	890.67	864.04	899.31	740.31
peak44393	chr17	24885730	24887853	.	2124	505.94	549.23	484.11	541.9	682.67	636.19	642.44	660.36	581.46
peak44394	chr17	24894162	24897348	.	3187	771.41	743.68	697.37	750.49	1084.49	1084.21	1072.23	1053.52	773.28
peak44395	chr17	24934969	24937616	.	2648	519.48	525.35	549.49	515.41	634.28	613.43	621	610.74	542.49
peak44396	chr17	24952025	24953602	.	1578	32.27	36.39	34.25	39.73	28.52	15.4	22.34	20.61	53.95
peak44397	chr17	24959424	24961839	.	2416	524.68	512.84	516.8	531.96	610.94	648.92	654.06	630.59	526.51
peak44399	chr17	25013113	25017578	.	4466	1357.51	1353.17	1366.71	1304.52	1863.94	1803.44	1848.7	1840.61	1432.67
peak44400	chr17	25114664	25116778	.	2115	471.59	448.03	356.47	420.49	547	519.67	502.16	563.41	393.63
peak44401	chr17	25132477	25134884	.	2408	340.42	335.45	358.02	343.24	303.31	349.57	306.48	319.11	277.74
peak44402	chr17	25183286	25185581	.	2296	375.82	353.64	375.15	381.87	426.88	407.16	410.13	455	355.67
peak44403	chr17	25187569	25190630	.	3062	477.84	482.14	440.52	438.15	464.91	485.52	457.48	464.92	429.6
peak44404	chr17	25210468	25212155	.	1688	12.49	13.65	21.79	17.66	12.96	8.04	17.87	12.21	29.97
peak44405	chr17	25219182	25220439	.	1258	241.52	228.56	210.14	240.6	210.85	190.86	223.38	190.86	299.72
peak44406	chr17	25221480	25225728	.	4249	693.33	714.11	678.69	721.79	820.07	792.9	704.1	727.54	1007.06
peak44407	chr17	25228071	25229075	.	1005	102.02	100.07	90.28	122.51	76.91	61.61	67.91	59.55	70.93
peak44408	chr17	25239197	25241773	.	2577	319.6	314.98	348.68	305.71	423.43	448.68	445.87	430.57	374.65
peak44409	chr17	25246660	25249238	.	2579	436.2	459.4	420.29	443.67	502.93	524.36	519.14	511.49	592.45
peak44410	chr17	25254601	25258584	.	3984	469.51	477.59	445.19	504.37	478.73	480.16	449.44	484.77	589.45
peak44411	chr17	25270849	25274669	.	3821	673.55	672.04	731.61	646.74	833.03	777.5	826.51	810.76	751.3
peak44415	chr17	25432373	25435430	.	3058	139.5	148.96	180.57	154.51	95.92	95.09	85.78	88.56	76.93
peak44416	chr17	25474069	25476350	.	2282	144.7	143.28	140.1	147.89	109.75	114.52	125.09	125.96	157.85
peak44417	chr17	25555136	25557575	.	2440	115.56	104.62	118.3	133.54	48.39	55.58	50.93	54.2	80.92
peak44418	chr17	25569824	25572015	.	2192	466.39	498.06	456.09	441.46	469.23	500.92	508.42	508.44	479.55
peak44419	chr17	25578434	25580180	.	1747	391.43	379.8	372.03	390.7	510.7	478.15	455.7	479.43	377.65
peak44420	chr17	25583352	25584714	.	1363	108.27	100.07	91.84	92.71	55.3	83.04	82.2	73.29	208.81
peak44421	chr17	25603883	25606530	.	2648	129.09	117.12	91.84	112.57	54.44	72.33	74.16	69.47	90.92
peak44422	chr17	25726588	25728329	.	1742	452.85	450.3	396.94	408.35	518.48	516.32	478.93	523.71	488.55
peak44423	chr17	25773250	25774558	.	1309	145.75	164.88	172.78	172.17	163.32	154.7	158.15	177.11	147.86
peak44424	chr17	25784476	25786405	.	1930	314.39	297.93	300.43	301.3	378.49	388.41	375.28	390.87	290.73
peak44425	chr17	25791355	25793332	.	1978	497.62	486.69	460.76	562.87	839.08	766.11	788.98	809.23	532.5
peak44426	chr17	25795879	25797779	.	1901	327.93	301.34	319.11	285.85	331.83	354.93	293.97	348.88	294.73
peak44427	chr17	25808033	25810173	.	2141	116.6	88.7	124.53	108.16	82.96	86.39	85.78	75.58	125.88
peak44428	chr17	25819074	25819835	.	762	19.78	22.74	23.35	22.07	17.28	14.06	13.4	20.61	68.94
peak44429	chr17	25823044	25824390	.	1347	247.77	261.54	236.61	262.67	286.89	273.23	268.95	270.25	249.77
peak44430	chr17	25828396	25829684	.	1289	239.44	196.72	179.01	210.8	277.39	299.35	259.12	280.94	233.78
peak44431	chr17	25831929	25834315	.	2387	588.19	599.26	579.06	554.04	777.72	777.5	738.94	782.51	583.46
peak44432	chr17	25836944	25838234	.	1291	95.78	97.79	96.51	84.98	66.54	63.62	78.63	66.42	117.89
peak44433	chr17	25843015	25845220	.	2206	348.75	326.35	292.64	295.78	382.81	391.76	359.2	396.22	336.69
peak44434	chr17	25860580	25862444	.	1865	320.64	344.55	317.55	338.82	362.94	362.3	360.98	349.65	241.77
peak44435	chr17	25867327	25869364	.	2038	389.35	368.43	362.69	403.94	490.83	427.92	465.53	462.63	318.7
peak44436	chr17	25874076	25876658	.	2583	480.96	511.7	459.2	499.96	665.39	683.74	730.9	695.48	502.53
peak44437	chr17	25918468	25921325	.	2858	693.33	691.37	588.4	641.23	950.55	885.99	898.89	897.79	725.32
peak44438	chr17	25940170	25942933	.	2764	384.14	402.54	392.27	364.21	438.98	476.81	428.89	472.56	427.6
peak44439	chr17	25970397	25972882	.	2486	68.71	78.46	88.73	69.53	42.34	42.19	45.57	41.22	114.89
peak44440	chr17	25983839	25986775	.	2937	689.17	690.23	642.88	656.68	838.21	811.65	768.43	880.99	591.45
peak44442	chr17	26011515	26012772	.	1258	57.26	64.82	56.04	59.6	50.12	60.27	53.61	65.65	92.91
peak44443	chr17	26068070	26070765	.	2696	508.03	500.33	509.01	548.52	583.29	618.78	545.05	584.78	439.59
peak44444	chr17	26089157	26090797	.	1641	261.3	253.58	235.05	279.23	331.83	318.77	304.69	345.07	283.74
peak44445	chr17	26094083	26096101	.	2019	341.46	340	367.36	384.07	350.84	345.55	382.43	349.65	175.84
peak44446	chr17	26112409	26114795	.	2387	309.19	327.49	297.31	299.09	333.56	346.89	344.9	342.01	370.65
peak44447	chr17	26122918	26124936	.	2019	330.01	366.15	314.44	337.72	386.27	406.5	387.79	385.53	349.67
peak44448	chr17	26137826	26141134	.	3309	716.23	701.6	670.9	724	702.54	733.97	735.37	768.77	675.37
peak44449	chr17	26146057	26147789	.	1733	112.43	134.18	108.96	105.95	75.18	77.01	89.35	83.21	228.79
peak44451	chr17	26166610	26169062	.	2453	334.17	366.15	325.33	334.41	292.08	318.77	305.59	310.71	374.65
peak44452	chr17	26200399	26204120	.	3722	544.46	561.74	541.7	576.11	641.19	605.39	555.77	631.35	536.5
peak44453	chr17	26227210	26229517	.	2308	197.8	208.09	202.36	169.96	138.26	154.03	131.35	149.63	66.94
peak44454	chr17	26233846	26235999	.	2154	188.43	203.54	175.9	192.04	155.54	159.38	135.82	129.02	92.91
peak44455	chr17	26240330	26241281	.	952	8.33	19.33	26.46	12.14	11.23	8.04	10.72	3.82	38.96
peak44456	chr17	26243088	26244960	.	1873	359.16	344.55	339.34	374.14	483.92	485.52	462.85	433.62	434.6
peak44457	chr17	26252122	26254820	.	2699	504.9	465.08	519.91	461.33	609.22	576.59	619.21	606.16	475.56
peak44459	chr17	26370167	26371449	.	1283	74.95	103.48	112.08	77.26	85.55	57.59	64.33	70.23	49.95
peak44460	chr17	26413633	26416494	.	2862	257.14	235.38	275.52	263.77	235.05	230.37	244.83	222.16	289.73
peak44461	chr17	26502450	26503831	.	1382	135.34	151.24	143.21	154.51	142.58	125.9	109.01	118.33	147.86
peak44462	chr17	26506863	26509582	.	2720	371.65	372.98	381.37	384.07	547.86	508.29	479.82	517.6	440.59
peak44463	chr17	26531218	26533223	.	2006	34.35	36.39	48.26	35.32	24.2	22.77	19.66	22.9	35.97
peak44465	chr17	26560352	26562905	.	2554	351.87	387.76	358.02	370.83	343.06	383.73	330.6	336.67	356.67
peak44466	chr17	26571652	26573067	.	1416	145.75	144.41	126.09	152.3	112.34	110.5	114.37	118.33	211.8
peak44467	chr17	26593963	26596066	.	2104	74.95	68.23	66.93	70.63	40.61	45.54	42	39.7	53.95
peak44468	chr17	26609941	26611137	.	1197	15.62	5.69	14.01	12.14	8.64	7.37	8.94	6.87	54.95
peak44469	chr17	26662613	26664295	.	1683	229.03	200.13	205.47	205.28	257.51	257.83	268.95	246.59	263.75
peak44470	chr17	26675828	26678668	.	2841	453.89	454.85	468.54	452.5	541.81	537.08	536.11	616.08	468.56
