peakN	Chr	Start	End	Strand	Length	Naive_P14_Day30_H3K27ac_Rep1_S1	Naive_P14_Day30_H3K27ac_Rep2_S2	Naive_P14_Day30_H3K27ac_Rep3_S3	Naive_P14_Day30_H3K27ac_Rep4_S4	Naive_P14_Day32_H3K27ac_Rep1_S9	Naive_P14_Day32_H3K27ac_Rep2_S10	Naive_P14_Day32_H3K27ac_Rep3_S11	Naive_P14_Day32_H3K27ac_Rep4_S12
peak34618	chr17	45319645	45321212	.	1568	88.34	74.16	76.17	72.28	72.39	87.53	87.43	88.49
peak34619	chr17	45383281	45385384	.	2104	28.37	31.61	22.93	21.93	27.58	21.35	19.43	24.58
peak34620	chr17	45431390	45434716	.	3327	189.65	209.11	217.88	206.29	202.24	214.55	200.36	193.69
peak34622	chr17	45488089	45489629	.	1541	43.77	36.47	43.41	38.98	29.88	34.16	46.14	42.28
peak34623	chr17	45506452	45507600	.	1149	34.04	27.96	31.13	36.55	29.88	33.09	36.43	41.29
peak34624	chr17	45555141	45559038	.	3898	292.59	297.86	292.41	284.26	318.3	323.42	308.43	323.47
peak34625	chr17	45572554	45574959	.	2406	188.03	189.66	187.57	174.62	171.21	162.24	148.14	175.01
peak34626	chr17	45594284	45596095	.	1812	27.56	31.61	20.48	15.43	29.88	27.75	20.64	35.39
peak34627	chr17	45618507	45620704	.	2198	68.08	60.79	67.98	73.1	65.5	59.77	64.36	73.74
peak34628	chr17	45685320	45687438	.	2119	67.27	57.14	54.06	60.1	49.41	59.77	58.29	65.87
peak34629	chr17	45702630	45704079	.	1450	25.13	19.45	17.2	25.18	18.39	20.28	21.86	19.66
peak34634	chr17	46073213	46075447	.	2235	28.37	41.34	45.05	43.05	43.67	58.71	44.93	34.41
peak34635	chr17	46110330	46112117	.	1788	47.82	41.34	41.77	47.11	54.01	44.83	59.5	59.97
peak34637	chr17	46152410	46154053	.	1644	88.34	103.34	117.13	89.34	114.91	117.41	111.72	120.93
peak34638	chr17	46159652	46161730	.	2079	141.02	175.07	106.48	140.51	120.65	113.14	121.43	132.73
peak34639	chr17	46162118	46163876	.	1759	135.35	124.01	121.22	103.15	116.06	120.62	111.72	113.07
peak34640	chr17	46172215	46173717	.	1503	76.19	92.4	87.64	77.97	89.63	106.74	112.93	94.39
peak34641	chr17	46201723	46204158	.	2436	80.24	87.53	93.38	77.97	76.99	73.65	92.29	69.81
peak34642	chr17	46247203	46248821	.	1619	38.09	30.39	54.88	40.61	37.92	46.97	37.64	40.31
peak34643	chr17	46252455	46254238	.	1784	8.92	12.16	11.47	12.18	25.28	11.74	14.57	9.83
peak34644	chr17	46281988	46283622	.	1635	38.9	53.49	42.59	46.29	60.9	58.71	51	41.29
peak34645	chr17	46327147	46329293	.	2147	135.35	151.97	128.6	149.44	141.34	134.49	136	151.41
peak34646	chr17	46377823	46379334	.	1512	27.56	17.02	13.11	21.93	26.43	26.68	18.21	24.58
peak34647	chr17	46382925	46385116	.	2192	52.68	48.63	49.96	53.6	42.52	49.1	51	52.11
peak34648	chr17	46387745	46389072	.	1328	39.71	57.14	49.14	45.48	55.16	53.37	61.93	48.18
peak34649	chr17	46545229	46546682	.	1454	32.42	32.83	36.04	30.86	39.07	41.63	30.36	25.56
peak34650	chr17	46553860	46554704	.	845	35.66	18.24	22.12	24.37	11.49	21.35	18.21	22.61
peak34651	chr17	46555722	46558729	.	3008	133.73	130.08	142.52	130.76	135.59	130.22	148.14	152.39
peak34652	chr17	46645117	46646983	.	1867	92.4	113.06	95.83	94.21	80.44	74.72	70.43	95.37
peak34653	chr17	46649905	46651348	.	1444	42.15	40.12	45.87	38.98	36.77	41.63	38.86	53.09
peak34654	chr17	46673420	46674971	.	1552	83.48	75.38	86.82	79.59	81.58	83.26	91.07	78.66
peak34655	chr17	46679895	46681900	.	2006	72.13	59.57	72.08	74.72	73.54	68.31	58.29	77.67
peak34656	chr17	46685520	46686574	.	1055	33.23	36.47	37.68	30.86	44.81	53.37	40.07	48.18
peak34657	chr17	46703837	46705910	.	2074	73.75	80.24	78.63	77.16	67.8	70.45	71.64	73.74
peak34658	chr17	46710720	46713798	.	3079	63.22	42.55	54.88	69.85	63.2	53.37	63.14	58.01
peak34659	chr17	46750456	46752789	.	2334	141.83	120.36	126.14	118.58	116.06	106.74	106.86	95.37
peak34660	chr17	46771935	46774355	.	2421	81.05	74.16	102.39	83.65	83.88	78.99	98.36	73.74
peak34661	chr17	46782063	46783670	.	1608	85.1	88.75	80.27	86.9	79.29	74.72	95.93	79.64
peak34662	chr17	46828510	46830751	.	2242	13.78	13.37	10.65	17.06	14.94	24.55	15.79	13.76
peak34663	chr17	46834910	46835984	.	1075	3.24	13.37	9.01	8.93	5.75	8.54	15.79	9.83
peak34664	chr17	46851510	46852394	.	885	6.48	4.86	5.73	5.69	8.04	2.13	8.5	4.92
peak34665	chr17	46855565	46858617	.	3053	142.65	153.18	137.61	134.01	158.57	153.71	146.93	140.6
peak34666	chr17	46869849	46871820	.	1972	21.88	13.37	22.93	12.18	18.39	26.68	25.5	16.71
peak34667	chr17	46879319	46881601	.	2283	3.24	3.65	2.46	2.44	9.19	3.2	9.71	7.87
peak34668	chr17	46888495	46891691	.	3197	65.65	62	76.17	91.78	79.29	77.92	88.64	55.06
peak34669	chr17	46966325	46969515	.	3191	61.6	74.16	63.89	55.23	70.09	58.71	52.21	61.94
peak34670	chr17	47008374	47011593	.	3220	234.23	238.29	253.1	215.23	217.18	202.81	191.86	225.15
peak34671	chr17	47122799	47124367	.	1569	2.43	3.65	4.91	0.81	8.04	1.07	7.29	0.98
peak34672	chr17	47139565	47143165	.	3601	97.26	88.75	82.73	73.1	72.39	82.19	86.21	68.82
peak34673	chr17	47170376	47171894	.	1519	21.07	9.73	18.84	25.99	16.09	19.21	23.07	31.46
peak34674	chr17	47189010	47190423	.	1414	12.16	12.16	12.29	13.81	14.94	20.28	17	10.82
peak34675	chr17	47203707	47205430	.	1724	87.53	62	67.98	69.03	74.69	72.58	78.93	88.49
peak34676	chr17	47211744	47213362	.	1619	29.99	26.75	26.21	22.74	40.22	43.76	40.07	31.46
peak34677	chr17	47220773	47222120	.	1348	20.26	23.1	31.94	15.43	27.58	29.89	19.43	21.63
peak34678	chr17	47222455	47224157	.	1703	33.23	42.55	40.95	41.42	41.37	50.17	53.43	42.28
peak34679	chr17	47231344	47233462	.	2119	8.1	12.16	4.91	9.75	10.34	8.54	7.29	4.92
peak34680	chr17	47268723	47271059	.	2337	46.2	63.22	54.88	71.47	65.5	80.05	87.43	57.03
peak34682	chr17	47292952	47294810	.	1859	37.28	37.69	36.04	42.23	50.56	40.56	51	53.09
peak34685	chr17	47368323	47369694	.	1372	23.5	25.53	27.85	30.86	32.17	21.35	12.14	17.7
peak34687	chr17	47438889	47440377	.	1489	12.97	19.45	21.3	12.18	18.39	13.88	24.29	18.68
peak34688	chr17	47484333	47487392	.	3060	180.74	179.93	195.76	208.73	221.77	183.59	184.57	234
peak34689	chr17	47501525	47502565	.	1041	131.3	126.44	137.61	102.33	101.12	104.61	98.36	105.2
peak34690	chr17	47503727	47505991	.	2265	222.07	215.19	208.05	232.28	188.45	206.01	191.86	211.39
peak34691	chr17	47506951	47508790	.	1840	169.39	138.6	153.17	164.87	129.85	166.51	132.36	142.56
peak34692	chr17	47510781	47511809	.	1029	55.11	64.43	64.71	71.47	54.01	59.77	54.64	54.08
peak34693	chr17	47518565	47520545	.	1981	120.76	94.83	125.32	127.51	104.57	90.73	123.86	109.13
peak34694	chr17	47521132	47522363	.	1232	94.02	86.32	86	94.21	90.78	90.73	72.86	86.52
peak34695	chr17	47526655	47528346	.	1692	103.74	102.12	125.32	129.95	94.22	122.75	125.07	121.92
peak34696	chr17	47530771	47532299	.	1529	99.69	104.55	87.64	82.84	75.84	88.59	74.07	78.66
peak34697	chr17	47541551	47543904	.	2354	85.91	75.38	91.74	86.9	94.22	80.05	89.86	100.29
peak34698	chr17	47556240	47557694	.	1455	37.28	37.69	47.51	38.98	34.47	37.36	38.86	27.53
peak34699	chr17	47563559	47565299	.	1741	16.21	21.88	27.85	15.43	21.83	25.62	13.36	27.53
peak34700	chr17	47591969	47594431	.	2463	119.14	98.48	131.87	99.09	105.72	107.81	89.86	105.2
peak34701	chr17	47595431	47597334	.	1904	72.94	53.49	67.16	60.91	41.37	50.17	52.21	61.94
peak34702	chr17	47598112	47598804	.	693	30.8	44.98	45.05	44.67	31.03	32.02	32.79	30.48
peak34703	chr17	47599561	47601681	.	2121	195.33	181.15	190.85	170.56	188.45	159.04	166.36	175.99
peak34704	chr17	47610287	47612334	.	2048	94.83	82.67	74.54	70.66	87.33	83.26	89.86	87.5
peak34705	chr17	47628523	47630684	.	2162	74.56	89.97	76.17	65.79	59.75	82.19	95.93	67.84
peak34706	chr17	47681822	47683660	.	1839	12.97	18.24	17.2	12.18	17.24	10.67	13.36	5.9
peak34707	chr17	47687253	47689378	.	2126	68.89	72.94	75.36	66.6	93.08	83.26	91.07	84.55
peak34709	chr17	47736539	47740342	.	3804	90.77	68.08	68.8	79.59	55.16	65.11	58.29	53.09
peak34710	chr17	47753378	47755071	.	1694	25.94	18.24	33.58	30.86	19.53	30.95	24.29	24.58
peak34711	chr17	47765735	47767228	.	1494	8.1	12.16	3.28	4.87	9.19	6.4	2.43	6.88
peak34712	chr17	47768399	47770144	.	1746	7.29	13.37	11.47	12.18	16.09	8.54	17	10.82
peak34713	chr17	47873023	47874327	.	1305	49.44	51.06	40.13	47.92	49.41	44.83	51	49.16
peak34714	chr17	47882576	47884275	.	1700	62.41	38.9	40.95	50.35	63.2	71.52	69.21	56.04
peak34716	chr17	47908831	47910992	.	2162	34.04	48.63	49.96	41.42	33.32	43.76	44.93	52.11
peak34717	chr17	47921764	47925457	.	3694	94.02	79.02	96.65	86.9	76.99	58.71	70.43	66.86
peak34718	chr17	47938120	47939311	.	1192	3.24	4.86	3.28	3.25	6.89	8.54	2.43	6.88
peak34719	chr17	47941360	47944241	.	2882	33.23	14.59	22.93	25.18	25.28	23.48	36.43	33.43
peak34721	chr17	48001216	48002740	.	1525	84.29	79.02	86	68.22	83.88	86.46	87.43	80.62
peak34723	chr17	48041135	48042577	.	1443	66.46	68.08	75.36	60.1	57.45	66.18	64.36	97.34
peak34724	chr17	48293351	48294439	.	1089	25.94	27.96	21.3	24.37	19.53	25.62	19.43	28.51
peak34725	chr17	48299048	48302023	.	2976	295.02	279.62	311.25	295.63	317.15	289.27	282.93	297.91
peak34726	chr17	48303076	48303716	.	641	37.28	38.9	31.13	45.48	37.92	45.9	32.79	56.04
peak34727	chr17	48315373	48316743	.	1371	74.56	86.32	81.91	82.84	106.86	113.14	104.43	107.17
peak34728	chr17	48318406	48319513	.	1108	73.75	76.59	63.07	78.78	108.01	98.2	105.64	81.61
peak34729	chr17	48331520	48333525	.	2006	28.37	30.39	31.13	30.86	33.32	33.09	30.36	31.46
peak34730	chr17	48385484	48386864	.	1381	27.56	19.45	18.84	24.37	25.28	13.88	20.64	26.55
peak34731	chr17	48400807	48402078	.	1272	13.78	13.37	21.3	10.56	21.83	13.88	13.36	12.78
peak34732	chr17	48408128	48411727	.	3600	423.07	403.63	388.24	368.73	448.14	456.85	466.29	407.04
peak34733	chr17	48418023	48420613	.	2591	30.8	42.55	23.75	21.93	25.28	20.28	26.71	24.58
peak34734	chr17	48425506	48429835	.	4330	254.49	295.43	273.57	255.83	218.33	276.46	279.29	256.61
peak34735	chr17	48430389	48431452	.	1064	25.13	19.45	27.85	20.3	11.49	17.08	20.64	12.78
peak34737	chr17	48461645	48462892	.	1248	72.94	77.81	83.55	90.15	94.22	84.32	66.79	95.37
peak34738	chr17	48465083	48468691	.	3609	85.1	66.87	88.46	82.03	101.12	104.61	83.79	85.54
peak34739	chr17	48512283	48513725	.	1443	42.96	42.55	34.4	44.67	49.41	42.7	46.14	54.08
peak34740	chr17	48585613	48587084	.	1472	17.83	26.75	26.21	21.12	28.73	25.62	21.86	25.56
peak34741	chr17	48646650	48648173	.	1524	59.98	53.49	54.88	49.54	51.71	39.49	27.93	50.14
peak34742	chr17	49171102	49173253	.	2152	30.8	20.67	18.84	32.49	26.43	24.55	25.5	21.63
peak34743	chr17	49402579	49403801	.	1223	31.61	42.55	45.87	27.61	44.81	25.62	35.21	29.5
peak34744	chr17	49405275	49406687	.	1413	21.88	24.31	35.22	28.43	29.88	30.95	36.43	26.55
peak34745	chr17	49412633	49413949	.	1317	21.07	13.37	13.92	12.18	13.79	19.21	19.43	13.76
peak34746	chr17	49427999	49429810	.	1812	87.53	88.75	94.19	98.27	82.73	97.13	92.29	105.2
peak34748	chr17	50069114	50072444	.	3331	65.65	55.92	65.53	56.85	70.09	71.52	85	68.82
peak34749	chr17	50083640	50084980	.	1341	8.1	27.96	19.66	12.18	21.83	16.01	25.5	20.65
peak34750	chr17	50093455	50095343	.	1889	108.61	93.61	110.58	118.58	108.01	112.08	93.5	124.87
peak34751	chr17	50121076	50122199	.	1124	22.69	21.88	22.93	28.43	22.98	24.55	19.43	22.61
peak34752	chr17	50124152	50126065	.	1914	48.63	49.85	45.05	50.35	51.71	39.49	54.64	58.01
peak34753	chr17	50135577	50136959	.	1383	57.54	68.08	72.9	60.91	67.8	58.71	63.14	69.81
peak34754	chr17	50149297	50150694	.	1398	54.3	43.77	49.14	47.11	36.77	48.03	65.57	41.29
peak34755	chr17	50157526	50159637	.	2112	76.19	81.46	85.18	77.16	70.09	98.2	97.14	94.39
peak34756	chr17	50170025	50172009	.	1985	46.2	26.75	38.5	34.11	33.32	43.76	37.64	38.34
peak34757	chr17	50185132	50186719	.	1588	152.37	144.67	143.34	156.75	180.41	157.98	155.43	177.96
peak34758	chr17	50189108	50190295	.	1188	68.89	99.69	90.92	86.09	93.08	84.32	95.93	100.29
peak34759	chr17	50291543	50293015	.	1473	22.69	29.18	16.38	29.24	21.83	23.48	20.64	15.73
peak34760	chr17	50309912	50311237	.	1326	21.88	32.83	21.3	29.24	36.77	34.16	25.5	19.66
peak34761	chr17	50330501	50332688	.	2188	65.65	80.24	86	86.09	79.29	80.05	83.79	93.4
peak34762	chr17	50414684	50416881	.	2198	42.15	54.71	50.78	64.97	60.9	71.52	53.43	58.99
peak34764	chr17	50469483	50472010	.	2528	295.83	280.84	257.19	273.7	317.15	244.43	270.79	269.39
peak34765	chr17	50483328	50485926	.	2599	202.62	200.6	199.86	198.17	205.69	214.55	194.29	233.02
peak34766	chr17	50499172	50500299	.	1128	22.69	24.31	34.4	25.99	28.73	20.28	17	30.48
peak34767	chr17	50509636	50513860	.	4225	388.22	397.55	407.9	383.35	399.88	371.46	369.15	402.13
peak34768	chr17	50524171	50526507	.	2337	208.29	183.58	208.05	197.36	210.28	199.6	214.93	228.1
peak34769	chr17	50536171	50537615	.	1445	65.65	60.79	69.62	63.35	75.84	87.53	70.43	86.52
peak34770	chr17	50544570	50545957	.	1388	25.94	26.75	32.76	37.36	37.92	24.55	37.64	35.39
peak34771	chr17	50560459	50561783	.	1325	29.99	32.83	25.39	26.8	14.94	32.02	29.14	21.63
peak34772	chr17	50568128	50569473	.	1346	33.23	29.18	31.94	30.05	29.88	33.09	35.21	28.51
peak34773	chr17	50569909	50572012	.	2104	50.25	57.14	36.86	43.05	44.81	37.36	57.07	46.21
peak34774	chr17	50579588	50581548	.	1961	252.87	234.64	235.9	250.15	289.57	281.79	278.07	290.04
peak34775	chr17	50587750	50588912	.	1163	34.85	58.36	46.69	54.42	56.3	60.84	55.86	49.16
peak34776	chr17	50609935	50611856	.	1922	25.94	24.31	25.39	30.05	36.77	18.15	29.14	36.38
peak34777	chr17	50630559	50632804	.	2246	222.88	173.85	185.93	199.79	296.46	303.14	314.5	330.35
peak34778	chr17	50676087	50679030	.	2944	67.27	93.61	81.91	73.1	63.2	73.65	75.29	76.69
peak34779	chr17	50728808	50732435	.	3628	118.33	115.5	122.04	115.33	167.77	154.77	142.07	166.16
peak34780	chr17	50735583	50737255	.	1673	34.04	54.71	36.86	23.55	34.47	40.56	41.29	50.14
peak34782	chr17	50879551	50881510	.	1960	96.45	82.67	88.46	103.96	90.78	75.79	83.79	98.32
peak34783	chr17	51172104	51173511	.	1408	25.94	13.37	20.48	17.87	17.24	16.01	19.43	15.73
peak34784	chr17	51178090	51180087	.	1998	108.61	121.57	103.2	94.21	114.91	116.35	127.5	96.35
peak34785	chr17	51181937	51182910	.	974	22.69	21.88	31.94	28.43	32.17	32.02	31.57	28.51
peak34788	chr17	51406455	51410127	.	3673	332.3	271.11	294.05	306.19	295.31	272.19	275.64	298.89
peak34789	chr17	51735621	51737371	.	1751	58.35	34.04	36.04	43.86	29.88	30.95	26.71	34.41
peak34790	chr17	51762220	51764531	.	2312	163.72	150.75	180.2	202.23	165.47	178.26	179.72	200.57
peak34791	chr17	51765058	51765747	.	690	42.96	43.77	38.5	44.67	28.73	33.09	34	42.28
peak34792	chr17	51804993	51808090	.	3098	250.44	279.62	262.92	233.91	226.37	249.77	240.43	224.17
peak34793	chr17	51808662	51810751	.	2090	153.18	121.57	135.97	131.57	144.78	140.9	140.86	150.43
peak34794	chr17	51813586	51815027	.	1442	117.52	145.89	132.69	129.95	128.7	105.67	93.5	123.88
peak34795	chr17	51815476	51816809	.	1334	133.73	131.3	137.61	145.38	135.59	131.29	116.57	120.93
peak34796	chr17	51826743	51828045	.	1303	88.34	83.89	94.19	82.03	66.65	82.19	69.21	77.67
peak34797	chr17	51829115	51832466	.	3352	267.46	305.15	298.15	295.63	225.22	252.97	265.93	266.45
peak34798	chr17	51833151	51835238	.	2088	174.25	182.36	190.03	166.5	185	173.99	168.79	179.92
peak34799	chr17	51854096	51856235	.	2140	239.09	246.8	258.83	255.02	296.46	285	295.07	305.77
peak34800	chr17	51856975	51858210	.	1236	67.27	52.28	55.7	57.66	81.58	56.57	61.93	79.64
peak34801	chr17	51873046	51873884	.	839	52.68	66.87	62.25	61.73	71.24	78.99	68	75.71
peak34802	chr17	51875764	51877335	.	1572	234.23	217.62	221.15	199.79	179.26	212.41	202.79	210.4
peak34803	chr17	51878290	51881450	.	3161	498.45	454.69	484.08	466.19	456.18	429.09	471.15	435.55
peak34804	chr17	51891369	51894907	.	3539	252.06	239.5	267.02	241.22	239.01	226.29	252.57	277.26
peak34805	chr17	51898496	51900436	.	1941	334.73	308.8	306.34	318.37	271.18	312.75	343.65	333.3
peak34806	chr17	51903548	51907736	.	4189	562.48	568.97	557.79	568.52	537.77	562.52	529.43	552.55
peak34807	chr17	51985792	51986861	.	1070	25.94	26.75	20.48	20.3	22.98	12.81	14.57	13.76
peak34808	chr17	52030570	52031963	.	1394	62.41	75.38	56.52	73.91	66.65	53.37	69.21	54.08
peak34810	chr17	52061591	52063532	.	1942	141.83	165.34	184.29	180.3	152.83	165.45	174.86	170.09
peak34811	chr17	52067509	52068722	.	1214	23.5	36.47	35.22	28.43	47.11	21.35	19.43	30.48
peak34812	chr17	52078880	52080161	.	1282	52.68	44.98	62.25	51.98	42.52	49.1	54.64	57.03
peak34814	chr17	52118574	52120092	.	1519	81.86	77.81	89.28	86.09	86.18	91.8	82.57	106.18
peak34815	chr17	52124266	52126207	.	1942	22.69	25.53	21.3	33.3	26.43	22.42	17	27.53
peak34817	chr17	52148102	52151972	.	3871	700.26	700.27	736.35	760.19	731.96	850.72	790.51	886.84
peak34818	chr17	52159932	52164149	.	4218	409.3	373.23	371.04	394.72	464.23	449.38	452.93	502.41
peak34819	chr17	52165557	52166625	.	1069	115.9	136.16	108.12	122.64	120.65	103.54	92.29	142.56
peak34820	chr17	52168231	52169387	.	1157	92.4	104.55	95.01	102.33	88.48	102.47	83.79	116.02
peak34821	chr17	52177604	52178625	.	1022	44.58	37.69	30.31	35.74	33.32	37.36	37.64	27.53
peak34822	chr17	52181522	52183383	.	1862	42.96	19.45	33.58	30.86	44.81	43.76	37.64	35.39
peak34824	chr17	52203545	52205085	.	1541	26.75	21.88	36.86	32.49	33.32	39.49	34	40.31
peak34825	chr17	52212258	52213631	.	1374	21.88	29.18	24.57	30.05	20.68	30.95	27.93	25.56
peak34826	chr17	52248898	52250658	.	1761	42.15	41.34	46.69	47.11	31.03	43.76	42.5	35.39
peak34827	chr17	52282257	52284018	.	1762	24.31	32.83	31.13	26.8	33.32	27.75	37.64	34.41
peak34828	chr17	52311564	52312567	.	1004	17.02	21.88	19.66	26.8	18.39	10.67	25.5	24.58
peak34829	chr17	52348270	52349624	.	1355	38.9	38.9	51.6	50.35	41.37	50.17	46.14	49.16
peak34830	chr17	52350831	52351728	.	898	22.69	15.8	25.39	12.99	16.09	24.55	26.71	20.65
peak34831	chr17	52448195	52449845	.	1651	111.04	110.63	107.3	103.96	103.42	98.2	123.86	114.05
peak34832	chr17	52455496	52456580	.	1085	33.23	35.26	40.95	43.05	33.32	53.37	37.64	57.03
peak34833	chr17	52460952	52462746	.	1795	81.86	97.26	109.76	82.84	98.82	88.59	102	89.47
peak34834	chr17	52467193	52470208	.	3016	523.57	536.14	523.39	497.05	497.55	518.76	499.08	513.23
peak34835	chr17	52483387	52485075	.	1689	21.07	29.18	24.57	24.37	31.03	34.16	23.07	18.68
peak34836	chr17	52590218	52592888	.	2671	123.19	119.14	132.69	148.63	181.55	140.9	139.64	125.85
peak34837	chr17	52600679	52602587	.	1909	42.96	32.83	24.57	38.98	50.56	26.68	36.43	24.58
peak34838	chr17	52627975	52629039	.	1065	6.48	12.16	8.19	9.75	5.75	16.01	9.71	3.93
peak34840	chr17	53462317	53464504	.	2188	17.83	14.59	31.13	17.87	19.53	25.62	19.43	19.66
peak34841	chr17	53478078	53481142	.	3065	318.52	294.21	280.94	327.31	325.19	323.42	315.72	342.15
peak34842	chr17	53486929	53488864	.	1936	31.61	35.26	30.31	30.05	37.92	33.09	25.5	32.45
peak34843	chr17	53557378	53559481	.	2104	56.73	59.57	67.98	64.97	74.69	70.45	65.57	45.23
peak34844	chr17	53565976	53567201	.	1226	75.38	63.22	85.18	73.1	91.93	70.45	75.29	82.59
peak34845	chr17	53567479	53570985	.	3507	372.82	325.82	348.93	341.11	325.19	335.16	331.5	349.03
peak34846	chr17	53579541	53582081	.	2541	62.41	69.3	54.88	52.79	62.05	54.44	53.43	60.96
peak34847	chr17	53585975	53588379	.	2405	145.08	150.75	141.7	129.14	166.62	144.1	142.07	171.08
peak34848	chr17	53602967	53604202	.	1236	52.68	59.57	53.24	73.91	66.65	88.59	83.79	90.45
peak34849	chr17	53605834	53607023	.	1190	62.41	63.22	55.7	77.97	63.2	83.26	97.14	93.4
peak34850	chr17	53608649	53610002	.	1354	69.7	66.87	72.9	73.91	83.88	74.72	92.29	101.27
peak34851	chr17	53617414	53619238	.	1825	35.66	30.39	31.94	23.55	34.47	36.29	26.71	42.28
peak34852	chr17	53630895	53632121	.	1227	28.37	29.18	27.03	34.92	34.47	32.02	26.71	33.43
peak34853	chr17	53649078	53651169	.	2092	94.83	119.14	95.83	125.07	136.74	127.02	122.64	139.61
peak34854	chr17	53688428	53690732	.	2305	250.44	269.9	228.52	214.41	257.39	235.9	221	259.56
peak34855	chr17	55711513	55713192	.	1680	73.75	83.89	60.61	73.1	79.29	56.57	61.93	50.14
peak34856	chr17	55842620	55844362	.	1743	47.82	38.9	41.77	52.79	89.63	69.38	58.29	66.86
peak34857	chr17	55877176	55879917	.	2742	252.87	262.6	265.38	294.82	276.93	338.37	276.86	293.97
peak34858	chr17	55891316	55893175	.	1860	256.92	268.68	262.11	295.63	272.33	313.82	295.07	273.33
peak34859	chr17	55931345	55933045	.	1701	44.58	55.92	59.79	67.41	59.75	50.17	64.36	47.19
peak34860	chr17	55944208	55946196	.	1989	242.34	222.48	242.45	266.39	267.74	259.38	272	264.48
peak34861	chr17	55958390	55960127	.	1738	153.18	145.89	122.86	130.76	155.13	141.96	120.22	140.6
peak34862	chr17	56007846	56010218	.	2373	105.36	85.1	103.2	88.53	73.54	85.39	82.57	84.55
peak34863	chr17	56020512	56024546	.	4035	314.47	328.25	321.9	368.73	371.15	360.78	382.5	388.36
peak34864	chr17	56032676	56036668	.	3993	281.24	288.13	327.63	293.19	280.38	281.79	256.22	300.86
peak34865	chr17	56073994	56075414	.	1421	81.05	81.46	69.62	61.73	67.8	67.25	59.5	58.99
peak34866	chr17	56078600	56079889	.	1290	120.76	83.89	125.32	105.58	96.52	96.07	111.72	111.1
peak34867	chr17	56084594	56085607	.	1014	9.73	12.16	10.65	6.5	5.75	6.4	6.07	5.9
peak34868	chr17	56117970	56119589	.	1620	2.43	2.43	2.46	3.25	5.75	3.2	1.21	3.93
peak34869	chr17	56132803	56135270	.	2468	13.78	7.29	4.1	8.12	9.19	10.67	10.93	11.8
peak34870	chr17	56161845	56164835	.	2991	316.09	303.94	254.73	298.88	291.87	276.46	285.36	302.82
peak34871	chr17	56182868	56184597	.	1730	90.77	102.12	85.18	103.15	106.86	120.62	138.43	107.17
peak34873	chr17	56217998	56219715	.	1718	31.61	37.69	24.57	25.99	29.88	36.29	13.36	38.34
peak34874	chr17	56255707	56257583	.	1877	115.9	105.77	127.78	124.26	96.52	109.94	100.79	105.2
peak34875	chr17	56268694	56270181	.	1488	55.11	69.3	60.61	76.34	64.35	40.56	88.64	61.94
peak34876	chr17	56275851	56278193	.	2343	134.54	136.16	132.69	133.2	131	143.03	106.86	112.08
peak34877	chr17	56288758	56291995	.	3238	194.52	189.66	199.04	195.73	211.43	235.9	245.29	222.2
peak34878	chr17	56302846	56304758	.	1913	34.04	34.04	31.13	40.61	39.07	30.95	41.29	29.5
peak34879	chr17	56324733	56326908	.	2176	174.25	148.32	137.61	138.07	127.55	118.48	142.07	126.83
peak34880	chr17	56330042	56331171	.	1130	50.25	42.55	48.33	52.79	78.14	88.59	88.64	76.69
peak34881	chr17	56341238	56343040	.	1803	50.25	49.85	41.77	39.8	42.52	43.76	55.86	50.14
peak34882	chr17	56405504	56407037	.	1534	6.48	9.73	12.29	12.18	13.79	8.54	13.36	9.83
peak34883	chr17	56442963	56444314	.	1352	26.75	29.18	35.22	34.92	28.73	36.29	31.57	27.53
peak34884	chr17	56461465	56462965	.	1501	70.51	57.14	69.62	65.79	67.8	77.92	60.71	64.89
peak34885	chr17	56506879	56508437	.	1559	98.88	91.18	85.18	90.15	99.97	76.85	92.29	105.2
peak34886	chr17	56559310	56561456	.	2147	29.99	36.47	34.4	27.61	25.28	23.48	29.14	14.75
peak34887	chr17	56583150	56586189	.	3040	178.31	166.56	185.93	177.05	182.7	185.73	211.29	161.24
peak34888	chr17	56608043	56610284	.	2242	122.38	116.71	101.57	123.45	116.06	145.17	111.72	108.15
peak34889	chr17	56613096	56614437	.	1342	60.79	62	72.08	63.35	59.75	69.38	66.79	52.11
peak34890	chr17	56626056	56627936	.	1881	25.13	29.18	27.03	29.24	42.52	37.36	42.5	31.46
peak34891	chr17	56629827	56631055	.	1229	6.48	14.59	3.28	3.25	6.89	8.54	3.64	2.95
peak34892	chr17	56672450	56674525	.	2076	100.5	103.34	111.39	98.27	109.16	88.59	78.93	110.12
peak34893	chr17	56682440	56684106	.	1667	37.28	29.18	40.95	33.3	52.86	48.03	34	41.29
peak34894	chr17	56716197	56718828	.	2632	111.85	105.77	104.84	92.59	94.22	127.02	108.07	89.47
peak34895	chr17	56764279	56765645	.	1367	81.05	87.53	83.55	70.66	95.37	105.67	83.79	67.84
peak34896	chr17	56818376	56820874	.	2499	194.52	189.66	202.31	207.92	202.24	210.28	202.79	197.62
peak34897	chr17	56830039	56831889	.	1851	29.99	37.69	35.22	27.61	32.17	23.48	41.29	28.51
peak34898	chr17	56841986	56844628	.	2643	62.41	66.87	60.61	57.66	63.2	58.71	71.64	57.03
peak34899	chr17	56883679	56886561	.	2883	96.45	97.26	84.37	111.27	102.27	87.53	106.86	110.12
