peakN	Chr	Start	End	Strand	Length	Arm_P14_Day30_H3K27ac_Rep1_S5	Arm_P14_Day30_H3K27ac_Rep2_S6	Arm_P14_Day30_H3K27ac_Rep3_S7	Arm_P14_Day30_H3K27ac_Rep4_S8
peak30956	chr15	41808017	41809359	.	1343	27.86	16.92	16.19	24.78
peak30957	chr15	41830281	41833583	.	3303	624.5	613.96	593.76	607.46
peak30958	chr15	41845756	41847434	.	1679	98.35	124.38	120.97	115.1
peak30959	chr15	41855138	41857465	.	2328	31.14	33.83	25.56	39.17
peak30960	chr15	41883424	41884850	.	1427	6.56	5.97	5.96	9.59
peak30961	chr15	42478944	42480086	.	1143	13.93	3.98	8.52	3.2
peak30962	chr15	42675244	42677249	.	2006	4.92	4.98	8.52	9.59
peak30965	chr15	43281149	43283508	.	2360	151.62	158.22	163.56	151.07
peak30966	chr15	43476453	43478603	.	2151	147.52	130.35	125.23	123.09
peak30967	chr15	43527917	43529317	.	1401	22.13	20.9	13.63	23.18
peak30968	chr15	44426843	44429179	.	2337	322.08	314.44	287.08	318.12
peak30969	chr15	44440451	44441904	.	1454	18.03	23.88	30.67	28.77
peak30970	chr15	44618159	44621617	.	3459	398.3	381.11	397.83	398.84
peak30971	chr15	49670731	49672462	.	1732	0.82	0	0.85	0.8
peak30972	chr15	49899637	49900974	.	1338	0	1	3.41	0
peak30973	chr15	50360576	50362977	.	2402	254.06	253.74	259.82	262.97
peak30974	chr15	50399601	50403454	.	3854	101.62	124.38	122.67	111.1
peak30977	chr15	50646410	50647124	.	715	25.41	11.94	22.15	20.78
peak30978	chr15	50649501	50652543	.	3043	123.75	101.5	139.71	108.7
peak30979	chr15	50652790	50654669	.	1880	45.89	30.85	44.3	31.97
peak30980	chr15	50656024	50657019	.	996	11.47	8.96	9.37	7.19
peak30981	chr15	50663738	50665560	.	1823	27.86	24.88	32.37	23.18
peak30982	chr15	50665782	50669143	.	3362	207.35	204.98	212.97	206.22
peak30983	chr15	50673966	50675320	.	1355	14.75	5.97	12.78	13.59
peak30984	chr15	50686610	50688013	.	1404	6.56	4.98	14.48	8.79
peak30985	chr15	50697059	50699873	.	2815	301.6	276.63	246.19	245.38
peak30987	chr15	50802906	50804643	.	1738	44.26	42.79	38.33	31.17
peak30988	chr15	50817049	50818824	.	1776	23.77	22.89	14.48	9.59
peak30989	chr15	50841091	50842867	.	1777	45.08	30.85	41.74	30.37
peak30990	chr15	50868956	50871035	.	2080	53.27	62.69	45.15	47.16
peak30991	chr15	50886526	50891006	.	4481	143.42	176.13	191.67	195.83
peak30992	chr15	50927694	50929125	.	1432	5.74	5.97	8.52	4
peak30994	chr15	51628139	51629966	.	1828	13.93	8.96	4.26	8.79
peak30995	chr15	51729555	51731578	.	2024	82.77	84.58	66.45	73.53
peak30996	chr15	51735966	51737761	.	1796	67.2	85.58	74.97	91.12
peak30997	chr15	51797774	51798803	.	1030	5.74	3.98	9.37	4
peak30998	chr15	51802379	51805813	.	3435	158.99	157.22	120.97	140.67
peak30999	chr15	51822724	51824133	.	1410	25.41	20.9	25.56	20.78
peak31000	chr15	51842170	51845391	.	3222	117.2	92.54	137.15	99.11
peak31001	chr15	51846190	51848312	.	2123	64.74	71.65	82.63	78.33
peak31002	chr15	51851529	51853017	.	1489	32.78	47.76	37.48	43.96
peak31003	chr15	51864483	51866352	.	1870	81.96	77.62	79.22	70.34
peak31004	chr15	51870734	51872424	.	1691	34.42	44.78	38.33	27.18
peak31005	chr15	51876753	51879077	.	2325	61.47	65.67	54.52	55.15
peak31006	chr15	51984119	51986004	.	1886	105.72	80.6	88.6	88.72
peak31007	chr15	51990094	51992679	.	2586	243.41	275.63	301.56	297.33
peak31008	chr15	52000393	52001933	.	1541	12.29	12.94	11.07	15.19
peak31009	chr15	52002664	52003767	.	1104	8.2	1.99	6.82	1.6
peak31010	chr15	52564777	52566449	.	1673	37.7	26.87	45.15	35.97
peak31011	chr15	52569417	52571151	.	1735	27.86	27.86	25.56	29.57
peak31012	chr15	52704345	52706228	.	1884	20.49	24.88	26.41	22.38
peak31013	chr15	52711604	52714129	.	2526	136.05	129.36	152.49	122.29
peak31015	chr15	52739389	52741500	.	2112	106.54	84.58	103.93	106.31
peak31016	chr15	52742457	52743156	.	700	13.11	15.92	12.78	12.79
peak31017	chr15	52748963	52754787	.	5825	976.09	959.25	960.92	911.19
peak31018	chr15	52898557	52900792	.	2236	22.95	19.9	16.19	26.38
peak31020	chr15	53100308	53102096	.	1789	22.13	13.93	28.11	7.99
peak31021	chr15	53103553	53104965	.	1413	13.11	7.96	11.07	11.19
peak31022	chr15	53112661	53116704	.	4044	90.15	74.63	85.19	67.94
peak31023	chr15	53129620	53130753	.	1134	13.93	3.98	16.19	12.79
peak31024	chr15	53139823	53141590	.	1768	10.65	2.99	11.07	9.59
peak31025	chr15	53156437	53158428	.	1992	40.98	33.83	38.33	39.96
peak31026	chr15	53215893	53217408	.	1516	45.89	42.79	46.85	39.96
peak31027	chr15	53234380	53236231	.	1852	16.39	28.86	15.33	15.19
peak31029	chr15	53265857	53268367	.	2511	97.53	101.5	80.93	93.52
peak31030	chr15	53308135	53311302	.	3168	14.75	18.91	17.04	11.99
peak31032	chr15	53324401	53325345	.	945	3.28	3.98	6.82	2.4
peak31033	chr15	53327371	53329172	.	1802	9.83	3.98	7.67	7.99
peak31035	chr15	53343174	53346065	.	2892	45.08	44.78	34.93	35.17
peak31037	chr15	53491052	53492921	.	1870	160.63	160.21	138	143.07
peak31038	chr15	53723124	53725393	.	2270	45.08	60.7	57.08	48.76
peak31039	chr15	54919009	54921008	.	2000	26.23	19.9	23.85	19.98
peak31040	chr15	55070905	55073130	.	2226	154.9	139.31	153.34	134.28
peak31041	chr15	55089332	55091333	.	2002	50.81	43.78	50.26	39.96
peak31042	chr15	55111990	55113556	.	1567	18.03	14.93	15.33	19.18
peak31043	chr15	55120484	55122178	.	1695	37.7	30.85	30.67	14.39
peak31044	chr15	55198701	55200682	.	1982	4.1	1	1.7	2.4
peak31045	chr15	55520050	55521751	.	1702	42.62	39.8	34.93	42.36
peak31046	chr15	55556186	55558558	.	2373	142.6	140.31	149.93	123.89
peak31047	chr15	55699260	55700714	.	1455	14.75	13.93	15.33	12.79
peak31048	chr15	55763921	55765566	.	1646	19.67	24.88	14.48	16.79
peak31050	chr15	55826651	55830143	.	3493	413.05	461.71	399.53	415.63
peak31051	chr15	55838036	55839643	.	1608	91.79	68.66	87.74	61.55
peak31052	chr15	55842827	55845691	.	2865	181.94	196.03	201.89	187.83
peak31053	chr15	55846788	55848973	.	2186	231.93	218.92	223.19	210.21
peak31054	chr15	55850373	55852129	.	1757	242.59	252.75	253.01	213.41
peak31055	chr15	55854323	55855460	.	1138	144.24	111.45	115.86	101.51
peak31056	chr15	55863108	55865137	.	2030	78.68	73.64	86.89	79.13
peak31057	chr15	55883630	55885400	.	1771	50.81	53.73	57.93	46.36
peak31058	chr15	55895981	55897848	.	1868	34.42	24.88	27.26	26.38
peak31059	chr15	55901874	55907360	.	5487	237.67	197.02	213.82	217.41
peak31060	chr15	57693061	57697596	.	4536	195.87	194.04	184.01	199.02
peak31061	chr15	57771211	57774200	.	2990	258.16	242.8	256.41	234.19
peak31062	chr15	57792541	57794001	.	1461	20.49	22.89	18.74	25.58
peak31063	chr15	57837915	57839497	.	1583	67.2	76.62	69.85	67.14
peak31064	chr15	57878127	57879598	.	1472	43.44	36.82	34.08	34.37
peak31065	chr15	57891353	57893417	.	2065	179.48	186.08	156.75	183.84
peak31066	chr15	57906151	57907526	.	1376	33.6	31.84	38.33	19.18
peak31067	chr15	57911583	57913575	.	1993	34.42	33.83	49.41	51.15
peak31069	chr15	57935993	57937559	.	1567	29.5	33.83	33.22	23.98
peak31070	chr15	57972551	57973870	.	1320	16.39	22.89	22.15	21.58
peak31071	chr15	57975306	57977321	.	2016	243.41	270.66	242.78	270.96
peak31073	chr15	58032927	58034957	.	2031	84.41	80.6	75.82	86.32
peak31074	chr15	58075056	58077391	.	2336	65.56	72.64	96.26	68.74
peak31075	chr15	58133344	58135955	.	2612	157.35	194.04	155.89	189.43
peak31076	chr15	58140462	58142260	.	1799	136.05	132.34	116.71	112.7
peak31077	chr15	58144556	58146177	.	1622	86.05	98.51	100.52	83.93
peak31078	chr15	58164180	58165958	.	1779	158.17	172.15	156.75	168.65
peak31079	chr15	58170866	58172117	.	1252	15.57	11.94	11.07	9.59
peak31080	chr15	58174606	58175675	.	1070	7.38	7.96	11.07	8.79
peak31081	chr15	58193925	58195758	.	1834	11.47	12.94	11.07	9.59
peak31083	chr15	58213597	58216291	.	2695	215.54	238.82	211.27	216.61
peak31085	chr15	58414857	58417489	.	2633	95.89	83.59	92	82.33
peak31086	chr15	58418009	58419025	.	1017	21.31	26.87	28.11	18.38
peak31087	chr15	58437762	58440868	.	3107	72.12	71.65	89.45	105.51
peak31089	chr15	58649115	58650729	.	1615	60.65	94.53	69	79.93
peak31090	chr15	58654174	58655891	.	1718	130.31	158.22	143.97	123.09
peak31091	chr15	58684040	58686112	.	2073	131.95	127.37	145.67	137.48
peak31092	chr15	58696478	58698410	.	1933	54.91	49.75	46	40.76
peak31094	chr15	58749022	58751083	.	2062	43.44	34.83	42.59	43.16
peak31095	chr15	58822338	58824810	.	2473	142.6	148.27	148.23	163.85
peak31097	chr15	58871806	58873230	.	1425	107.36	79.61	96.26	95.12
peak31098	chr15	58887108	58888875	.	1768	254.88	258.72	250.45	278.95
peak31099	chr15	58889291	58891288	.	1998	218	247.77	253.86	248.58
peak31100	chr15	58905153	58906338	.	1186	18.03	20.9	27.26	24.78
peak31101	chr15	58927123	58928540	.	1418	90.15	72.64	70.71	89.52
peak31102	chr15	58930470	58931728	.	1259	9.02	10.95	11.93	22.38
peak31103	chr15	58932775	58934766	.	1992	136.87	124.38	148.23	115.1
peak31104	chr15	58974385	58976285	.	1901	2.46	5.97	5.11	5.6
peak31106	chr15	59006480	59007696	.	1217	9.02	6.97	12.78	10.39
peak31107	chr15	59010185	59011327	.	1143	6.56	6.97	5.96	11.99
peak31108	chr15	59018541	59020053	.	1513	6.56	2.99	9.37	3.2
peak31109	chr15	59051083	59052483	.	1401	1.64	2.99	2.56	4
peak31110	chr15	59056192	59057110	.	919	0.82	2.99	3.41	1.6
peak31111	chr15	59062803	59065524	.	2722	7.38	8.96	14.48	6.39
peak31113	chr15	59080405	59082062	.	1658	2.46	3.98	4.26	3.2
peak31114	chr15	59089203	59090705	.	1503	9.02	4.98	13.63	11.99
peak31115	chr15	59105924	59108239	.	2316	27.05	37.81	44.3	25.58
peak31117	chr15	59245510	59247286	.	1777	4.1	2.99	6.82	4
peak31118	chr15	59263113	59264627	.	1515	36.88	37.81	34.08	40.76
peak31119	chr15	59279356	59280908	.	1553	13.93	17.91	18.74	15.99
peak31120	chr15	59314034	59316843	.	2810	50.81	68.66	75.82	59.15
peak31121	chr15	59373207	59375330	.	2124	125.39	135.33	131.19	145.47
peak31122	chr15	59397896	59399669	.	1774	32.78	18.91	28.11	19.18
peak31126	chr15	59507805	59510129	.	2325	52.45	36.82	55.37	51.95
peak31127	chr15	59511533	59512600	.	1068	25.41	25.87	25.56	23.18
peak31128	chr15	59522548	59523536	.	989	17.21	18.91	16.19	26.38
peak31129	chr15	59524159	59525871	.	1713	39.34	39.8	20.45	29.57
peak31130	chr15	59537618	59539344	.	1727	48.35	45.77	44.3	54.35
peak31132	chr15	59570674	59572521	.	1848	16.39	15.92	13.63	16.79
peak31133	chr15	59587657	59588737	.	1081	4.92	5.97	6.82	4.8
peak31134	chr15	59595796	59601315	.	5520	481.08	522.41	458.31	466.78
peak31135	chr15	59619335	59621240	.	1906	122.93	95.53	108.19	121.49
peak31136	chr15	59645916	59651238	.	5323	122.93	133.34	143.97	119.89
peak31137	chr15	59652642	59653977	.	1336	42.62	39.8	44.3	38.37
peak31140	chr15	59724031	59725053	.	1023	31.14	34.83	35.78	34.37
peak31141	chr15	59728194	59731791	.	3598	99.17	97.52	115	89.52
peak31142	chr15	59759417	59763524	.	4108	147.52	166.18	177.19	169.45
peak31143	chr15	59794951	59796871	.	1921	71.3	90.55	101.37	89.52
peak31145	chr15	59905608	59906627	.	1020	14.75	5.97	11.93	13.59
peak31147	chr15	59913372	59914716	.	1345	18.03	12.94	17.04	12.79
peak31148	chr15	59935909	59937966	.	2058	9.83	6.97	8.52	15.99
peak31149	chr15	59948222	59949139	.	918	3.28	4.98	5.96	3.2
peak31150	chr15	59949953	59951646	.	1694	109	79.61	85.19	69.54
peak31151	chr15	59977923	59979617	.	1695	13.11	14.93	22.15	22.38
peak31152	chr15	60086948	60088278	.	1331	11.47	9.95	13.63	13.59
peak31153	chr15	60096924	60098375	.	1452	213.08	234.84	209.56	195.03
peak31154	chr15	60099265	60100828	.	1564	262.26	246.78	211.27	248.58
peak31155	chr15	60101249	60103575	.	2327	444.2	477.63	437.01	476.38
peak31156	chr15	60111601	60112877	.	1277	391.75	358.23	356.08	353.28
peak31157	chr15	60114349	60115178	.	830	199.15	176.13	199.34	191.83
peak31158	chr15	60119622	60120871	.	1250	345.85	362.21	342.45	335.7
peak31159	chr15	60123339	60125456	.	2118	552.38	563.21	523.05	539.52
peak31160	chr15	60129618	60131282	.	1665	276.19	274.64	279.42	275.75
peak31161	chr15	60132275	60133797	.	1523	364.7	362.21	331.38	352.49
peak31162	chr15	60136369	60137815	.	1447	304.05	283.6	273.45	277.35
peak31163	chr15	60141411	60142154	.	744	65.56	61.69	77.52	59.95
peak31164	chr15	60147766	60151050	.	3285	161.45	186.08	192.52	207.81
peak31165	chr15	60165963	60166892	.	930	68.02	47.76	63.04	68.74
peak31166	chr15	60168205	60171601	.	3397	345.85	318.42	340.75	318.92
peak31167	chr15	60178190	60181045	.	2856	304.87	284.59	319.45	302.13
peak31168	chr15	60184500	60188707	.	4208	602.37	492.56	637.2	580.28
peak31171	chr15	60822805	60825646	.	2842	54.91	77.62	62.19	67.94
peak31172	chr15	61153721	61155416	.	1696	36.06	25.87	26.41	26.38
peak31173	chr15	61395624	61397423	.	1800	28.68	18.91	23	23.18
peak31174	chr15	61406579	61409561	.	2983	281.11	341.31	280.27	298.13
peak31175	chr15	61411245	61412991	.	1747	90.15	77.62	85.19	97.51
peak31176	chr15	61413536	61414699	.	1164	28.68	37.81	30.67	35.17
peak31177	chr15	61415741	61417383	.	1643	17.21	23.88	23.85	14.39
peak31178	chr15	61419553	61420520	.	968	15.57	17.91	12.78	15.19
peak31179	chr15	61422237	61424155	.	1919	34.42	54.73	41.74	35.97
peak31180	chr15	61428187	61429651	.	1465	18.03	22.89	19.59	16.79
peak31181	chr15	61438209	61438956	.	748	21.31	21.89	17.04	15.99
peak31182	chr15	61439724	61442897	.	3174	140.96	122.39	126.93	114.3
peak31183	chr15	61446302	61449445	.	3144	93.43	76.62	92	87.12
peak31184	chr15	61481440	61483450	.	2011	16.39	17.91	21.3	22.38
peak31185	chr15	61538907	61542059	.	3153	236.03	243.79	215.52	221.4
peak31186	chr15	61546487	61549602	.	3116	187.68	180.11	161.86	178.24
peak31187	chr15	61581556	61583046	.	1491	26.23	10.95	18.74	21.58
peak31189	chr15	61668836	61672033	.	3198	129.49	112.44	102.23	101.51
peak31190	chr15	61983372	61988328	.	4957	213.9	216.93	197.64	240.59
peak31191	chr15	62031474	62033654	.	2181	90.97	90.55	85.19	97.51
peak31192	chr15	62037670	62040885	.	3216	270.45	303.5	304.97	290.94
peak31193	chr15	62042249	62044850	.	2602	128.67	102.49	124.37	107.9
peak31194	chr15	62090608	62093927	.	3320	106.54	144.29	135.45	127.09
peak31195	chr15	62103720	62106151	.	2432	54.91	59.7	43.45	53.55
peak31196	chr15	62129909	62131188	.	1280	18.85	19.9	16.19	15.99
peak31197	chr15	62138408	62139890	.	1483	84.41	93.54	74.11	74.33
peak31198	chr15	62144412	62146576	.	2165	94.25	103.49	95.41	100.71
peak31199	chr15	62156823	62158709	.	1887	82.77	55.72	65.59	70.34
peak31200	chr15	62164536	62165635	.	1100	118.84	105.48	118.41	130.28
peak31201	chr15	62166557	62167435	.	879	49.17	36.82	40.89	43.16
peak31202	chr15	62168401	62171299	.	2899	390.93	390.07	399.53	416.43
peak31203	chr15	62177244	62178693	.	1450	122.93	104.48	109.04	129.48
peak31204	chr15	62181040	62182248	.	1209	38.52	38.81	33.22	27.18
peak31205	chr15	62188675	62190883	.	2209	115.56	133.34	110.74	145.47
peak31206	chr15	62208823	62210377	.	1555	23.77	23.88	16.19	19.18
peak31207	chr15	62224381	62225642	.	1262	32.78	34.83	34.08	23.18
peak31208	chr15	62237274	62238820	.	1547	26.23	23.88	34.08	23.98
peak31209	chr15	62259932	62262058	.	2127	22.95	20.9	24.7	20.78
peak31210	chr15	62288100	62289317	.	1218	22.95	16.92	30.67	24.78
peak31212	chr15	62365870	62367466	.	1597	32.78	34.83	22.15	20.78
peak31213	chr15	62374426	62376528	.	2103	46.71	34.83	62.19	39.17
peak31215	chr15	62392030	62393891	.	1862	28.68	22.89	22.15	18.38
peak31216	chr15	62456425	62458564	.	2140	72.12	98.51	88.6	77.53
peak31217	chr15	62459331	62460922	.	1592	33.6	33.83	34.93	31.97
peak31220	chr15	62697759	62700305	.	2547	66.38	107.47	80.93	100.71
peak31221	chr15	62727274	62728443	.	1170	29.5	15.92	23	19.98
peak31222	chr15	62729544	62733240	.	3697	345.85	352.26	302.42	345.29
peak31223	chr15	62734218	62735863	.	1646	113.92	88.56	102.23	99.11
peak31226	chr15	62787416	62788942	.	1527	10.65	6.97	11.07	7.99
peak31227	chr15	62799386	62801645	.	2260	18.03	22.89	33.22	21.58
peak31228	chr15	62807973	62809969	.	1997	79.5	82.59	86.89	78.33
peak31230	chr15	62823297	62825722	.	2426	83.59	85.58	78.37	73.53
peak31232	chr15	62884545	62886673	.	2129	92.61	89.56	75.82	93.52
peak31233	chr15	63122296	63124106	.	1811	81.96	97.52	93.71	83.93
peak31235	chr15	63656440	63659145	.	2706	43.44	35.82	48.56	44.76
peak31236	chr15	63924512	63925958	.	1447	14.75	15.92	11.07	13.59
peak31237	chr15	63948773	63949971	.	1199	31.14	25.87	30.67	24.78
peak31238	chr15	63968864	63970968	.	2105	61.47	56.72	64.74	53.55
peak31240	chr15	63982263	63983384	.	1122	53.27	50.75	40.89	37.57
peak31241	chr15	63983971	63986172	.	2202	77.04	64.68	74.97	62.34
peak31242	chr15	63989746	63990931	.	1186	29.5	20.9	28.11	14.39
peak31243	chr15	63996706	63999547	.	2842	123.75	129.36	138.86	118.29
peak31244	chr15	64002972	64004016	.	1045	22.13	11.94	23	18.38
peak31245	chr15	64012539	64014115	.	1577	16.39	13.93	11.07	15.19
peak31246	chr15	64021533	64023127	.	1595	242.59	220.91	229.15	217.41
peak31247	chr15	64023408	64025851	.	2444	264.72	256.73	248.75	241.38
peak31248	chr15	64031643	64034686	.	3044	131.95	137.32	104.78	120.69
peak31249	chr15	64040490	64042961	.	2472	159.81	186.08	143.97	155.86
peak31250	chr15	64057845	64061195	.	3351	172.11	187.07	171.23	195.83
peak31251	chr15	64067122	64068376	.	1255	52.45	62.69	46	49.56
peak31252	chr15	64074828	64077231	.	2404	259.8	244.79	276.01	264.56
peak31253	chr15	64077822	64078590	.	769	22.13	16.92	23	11.99
peak31254	chr15	64083769	64086687	.	2919	18.85	20.9	34.08	28.77
peak31255	chr15	64101731	64103612	.	1882	51.63	57.71	70.71	55.95
peak31256	chr15	64106385	64107620	.	1236	10.65	3.98	11.93	8.79
peak31258	chr15	64144220	64145885	.	1666	10.65	8.96	17.89	15.99
peak31259	chr15	64162958	64164738	.	1781	59.83	74.63	64.74	79.13
peak31261	chr15	64184975	64187267	.	2293	453.21	456.74	396.97	456.39
peak31262	chr15	64189017	64189982	.	966	86.05	79.61	86.89	83.93
peak31263	chr15	64205070	64206902	.	1833	132.77	114.43	134.6	129.48
peak31264	chr15	64208901	64209420	.	520	25.41	20.9	20.45	20.78
peak31265	chr15	64210527	64213697	.	3171	158.17	162.2	123.52	128.69
peak31266	chr15	64234181	64236693	.	2513	237.67	248.77	245.34	221.4
peak31267	chr15	64237888	64238573	.	686	30.32	38.81	26.41	21.58
peak31268	chr15	64246174	64247529	.	1356	22.13	25.87	22.15	25.58
peak31269	chr15	64260626	64261859	.	1234	22.13	15.92	23	18.38
peak31270	chr15	64266474	64267494	.	1021	13.93	8.96	10.22	11.99
peak31271	chr15	64278063	64280707	.	2645	359.78	356.24	373.97	372.47
peak31272	chr15	64284065	64285133	.	1069	16.39	24.88	23.85	18.38
peak31274	chr15	64311357	64314084	.	2728	61.47	75.63	65.59	63.94
peak31275	chr15	65725022	65728316	.	3295	336.02	411.96	319.45	356.48
peak31276	chr15	65744179	65746000	.	1822	68.02	68.66	86.89	67.94
peak31277	chr15	65786219	65788436	.	2218	106.54	120.4	95.41	124.69
peak31278	chr15	65794809	65796281	.	1473	32.78	53.73	36.63	47.96
peak31279	chr15	65804813	65805838	.	1026	13.93	14.93	11.07	19.18
peak31280	chr15	65810339	65811648	.	1310	23.77	17.91	30.67	29.57
peak31282	chr15	66443273	66449347	.	6075	910.52	945.32	952.4	939.96
peak31283	chr15	66453717	66454733	.	1017	14.75	19.9	16.19	20.78
peak31284	chr15	66475589	66477172	.	1584	78.68	74.63	67.3	74.33
peak31286	chr15	66507553	66508787	.	1235	28.68	37.81	28.96	24.78
peak31287	chr15	66511613	66515379	.	3767	54.09	66.67	64.74	75.13
peak31288	chr15	66535169	66537045	.	1877	41.8	43.78	30.67	43.16
peak31290	chr15	66557301	66561924	.	4624	1055.58	1049.8	1104.88	1043.87
peak31291	chr15	66576863	66578952	.	2090	113.92	130.35	121.82	145.47
peak31295	chr15	66717980	66719837	.	1858	149.98	155.23	157.6	162.26
peak31296	chr15	66727131	66731316	.	4186	220.46	230.86	230.01	216.61
peak31297	chr15	66754862	66757061	.	2200	142.6	167.17	143.12	156.66
peak31298	chr15	66778176	66779919	.	1744	60.65	73.64	74.97	78.33
peak31299	chr15	66785241	66787087	.	1847	51.63	60.7	55.37	63.94
peak31300	chr15	66788668	66790260	.	1593	187.68	159.21	224.9	174.24
peak31301	chr15	66792942	66793531	.	590	81.14	82.59	77.52	76.73
peak31302	chr15	66794939	66797148	.	2210	291.76	276.63	276.01	280.55
peak31303	chr15	66800640	66802919	.	2280	359.78	403	396.12	362.08
peak31304	chr15	66803706	66805054	.	1349	229.47	199.01	187.41	208.61
peak31305	chr15	66809810	66813241	.	3432	870.36	904.52	951.55	896.8
peak31306	chr15	66824175	66828291	.	4117	709.73	741.33	696.83	676.2
peak31307	chr15	66841652	66844689	.	3038	63.11	60.7	73.26	63.14
peak31308	chr15	66854092	66855659	.	1568	258.16	267.67	239.38	246.18
peak31309	chr15	66858718	66859469	.	752	55.73	56.72	47.71	62.34
peak31310	chr15	66859921	66862742	.	2822	379.45	362.21	366.31	376.46
peak31311	chr15	66864327	66866336	.	2010	198.33	199.01	203.6	180.64
peak31312	chr15	66883404	66884779	.	1376	60.65	45.77	65.59	54.35
peak31313	chr15	66898401	66900032	.	1632	61.47	56.72	67.3	49.56
peak31315	chr15	66968557	66970562	.	2006	17.21	19.9	23	19.98
peak31316	chr15	66977803	66979146	.	1344	1.64	7.96	7.67	1.6
peak31317	chr15	67038891	67041228	.	2338	170.47	168.17	148.23	167.05
peak31318	chr15	67087041	67088385	.	1345	23.77	33.83	23	27.18
peak31319	chr15	67095084	67096517	.	1434	34.42	40.8	27.26	24.78
peak31320	chr15	67103184	67104347	.	1164	10.65	13.93	13.63	17.58
peak31321	chr15	67128682	67131604	.	2923	87.69	72.64	92.85	75.13
peak31322	chr15	67138215	67139616	.	1402	42.62	32.84	40.04	40.76
peak31323	chr15	67143497	67146135	.	2639	160.63	170.16	171.23	140.67
peak31324	chr15	67153075	67155821	.	2747	126.21	95.53	109.04	99.11
peak31325	chr15	67172356	67178601	.	6246	573.69	547.29	568.2	573.89
peak31326	chr15	67195985	67197572	.	1588	9.02	8.96	12.78	14.39
peak31327	chr15	67208967	67210780	.	1814	57.37	50.75	47.71	51.95
peak31328	chr15	67234321	67236066	.	1746	46.71	36.82	34.08	44.76
peak31329	chr15	67247319	67249200	.	1882	4.92	6.97	11.07	5.6
peak31330	chr15	67288308	67292013	.	3706	595.81	602.02	559.68	602.66
peak31331	chr15	67345084	67346612	.	1529	25.41	17.91	28.11	18.38
peak31333	chr15	67382413	67383634	.	1222	4.1	3.98	2.56	5.6
peak31334	chr15	67396827	67399074	.	2248	40.98	38.81	41.74	39.96
peak31335	chr15	67405154	67406178	.	1025	7.38	5.97	4.26	7.99
peak31336	chr15	67409103	67411055	.	1953	94.25	78.61	86.04	75.93
peak31338	chr15	67459590	67461368	.	1779	10.65	5.97	12.78	5.6
peak31339	chr15	67462126	67463221	.	1096	3.28	4.98	5.96	4.8
peak31340	chr15	68208212	68209988	.	1777	13.93	17.91	21.3	22.38
peak31341	chr15	68227180	68229505	.	2326	29.5	41.79	39.19	34.37
peak31342	chr15	68257750	68260268	.	2519	111.46	115.43	108.19	143.07
peak31343	chr15	68286809	68288236	.	1428	4.92	1.99	1.7	3.2
peak31345	chr15	68361096	68364206	.	3111	77.86	87.57	92	95.91
peak31346	chr15	68959009	68962265	.	3257	5.74	4.98	3.41	1.6
peak31347	chr15	68962699	68964140	.	1442	0	0	2.56	0.8
peak31348	chr15	69078063	69080308	.	2246	4.1	0	2.56	0
peak31349	chr15	69613497	69615237	.	1741	2.46	1	1.7	0.8
peak31350	chr15	72808710	72811387	.	2678	191.78	180.11	180.6	183.84
peak31351	chr15	72864630	72867147	.	2518	73.76	79.61	73.26	75.13
peak31352	chr15	72928289	72930022	.	1734	86.05	76.62	88.6	72.74
peak31353	chr15	72970919	72974175	.	3257	33.6	42.79	28.11	34.37
peak31356	chr15	73034446	73035654	.	1209	3.28	6.97	9.37	7.99
peak31357	chr15	73059822	73061981	.	2160	144.24	134.33	122.67	126.29
peak31358	chr15	73066858	73068402	.	1545	86.05	76.62	87.74	85.52
peak31359	chr15	73089624	73091512	.	1889	164.73	156.23	169.52	185.43
peak31360	chr15	73091914	73093465	.	1552	22.95	24.88	22.15	20.78
peak31361	chr15	73117416	73119475	.	2060	43.44	77.62	63.04	61.55
peak31362	chr15	73137133	73138532	.	1400	64.74	61.69	63.89	54.35
peak31363	chr15	73139933	73141443	.	1511	121.29	133.34	133.74	121.49
peak31364	chr15	73146725	73147380	.	656	40.98	37.81	37.48	42.36
peak31365	chr15	73148787	73151460	.	2674	245.87	233.84	221.49	250.98
peak31366	chr15	73153266	73153878	.	613	16.39	13.93	15.33	14.39
peak31367	chr15	73155822	73157102	.	1281	45.08	45.77	40.89	49.56
peak31368	chr15	73161618	73164094	.	2477	161.45	161.2	172.93	151.07
peak31369	chr15	73168644	73171280	.	2637	84.41	107.47	103.93	90.32
peak31370	chr15	73175412	73178026	.	2615	109	102.49	97.97	87.92
peak31371	chr15	73181822	73186040	.	4219	179.48	190.06	178.04	184.64
peak31372	chr15	73224186	73226026	.	1841	5.74	0	8.52	3.2
peak31373	chr15	73227696	73229434	.	1739	5.74	3.98	2.56	0.8
peak31374	chr15	73267627	73269802	.	2176	9.02	7.96	8.52	8.79
peak31375	chr15	73421980	73424239	.	2260	4.1	3.98	5.96	5.6
peak31377	chr15	73505545	73507070	.	1526	45.89	49.75	43.45	51.15
peak31378	chr15	73510877	73513818	.	2942	170.47	178.12	169.52	172.65
peak31379	chr15	73522763	73524050	.	1288	6.56	8.96	10.22	8.79
peak31380	chr15	73545045	73546546	.	1502	32.78	37.81	26.41	46.36
peak31381	chr15	73594610	73597046	.	2437	55.73	54.73	58.78	54.35
peak31382	chr15	73613578	73614573	.	996	18.03	14.93	14.48	15.19
